,Please respond to each statement with a number between 1 and 7,,,,,,
,1 = Strongly Disagree,,,,,,
,4 = Neither Agree nor Disagree,,,,,,
,7 = Strongly Agree,,,,,,
,Mark an 'x' in one column for each statement,,,,,,
,1,2,3,4,5,6,7
Light Switch,,,,,,,
After Phase 1 - Light Switch,,,,,,,
The system performed the task I wanted,,,x,,,,
I felt in control,,,x,,,,
The system responded to my input in the way that I expected,,x,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,
The system improved over time,,,,x,,,
I improved at using the system over time,,,,,x,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,x,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,
Please describe your input strategy,I started making exaggerated looks in certain directions whe I felt the robot was about to flip the wrong switch.,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 2 - Light Switch,,,,,,,
The system performed the task I wanted,,,x,,,,
I felt in control,,x,,,,,
The system responded to my input in the way that I expected,,x,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,x,,,
The system improved over time,,,x,,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,x,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,
Please describe your input strategy,"I started by looking directly at objects, and then switching to neighboring objects if the robot missed its target.",,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 3 - Light Switch,,,,,,,
The system performed the task I wanted,,,x,,,,
I felt in control,,,x,,,,
The system responded to my input in the way that I expected,,x,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,
The system improved over time,,,,x,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,x,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,
Please describe your input strategy,"I would look at the goal at the beginning, and then shift my gaze a bit if the robot appearbed to be deading towards the wrong target",,,,,,
Any other feedback?,,,,,,,
,,,,,,,
Bottle Maze,,,,,,,
After Phase 1 - Bottle Maze,,,,,,,
The system performed the task I wanted,,x,,,,,
I felt in control,,x,,,,,
The system responded to my input in the way that I expected,,,x,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,
The system improved over time,,x,,,,,
I improved at using the system over time,,,x,,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,x,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,x,,,,
Please describe your input strategy,I choose to look in one of four location based on whether the bottle was on the right or left with a door closed in front of it,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 2 - Bottle Maze,,,,,,,
The system performed the task I wanted,,,x,,,,
I felt in control,,,x,,,,
The system responded to my input in the way that I expected,,,,x,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,
The system improved over time,,,,,x,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,x,,,,
Please describe your input strategy,"I used a similar strategy to before, where I fixed my gaze on one of four keypoints based on the location of the door and bottle",,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 3 - Bottle Maze,,,,,,,
The system performed the task I wanted,,,x,,,,
I felt in control,,x,,,,,
The system responded to my input in the way that I expected,,,x,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,
The system improved over time,,,,x,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,x,,,,
Please describe your input strategy,I looked either to the left or the right dpeending on the location of the bottle,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
What kind of webcam setup did you use?,I used a webcam integrated into my laptop with the light on in the room I worked in,,,,,,
