,Please respond to each statement with a number between 1 and 7,,,,,,,
,1 = Strongly Disagree,,,,,,,
,4 = Neither Agree nor Disagree,,,,,,,
,7 = Strongly Agree,,,,,,,
,Mark an 'x' in one column for each statement,,,,,,,
,1,2,3,4,5,6,7,
Light Switch,,,,,,,,
After Phase 1 - Light Switch,,,,,,,,
The system performed the task I wanted,,,,,,x,,
I felt in control,,,,,,x,,
The system responded to my input in the way that I expected,,,,,,x,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,,
The system improved over time,,,,,x,,,
I improved at using the system over time,,,x,,,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,,
Please describe your input strategy,,,,,,,,I looked at the target and if the arm was going in the wrong place I compensated by looking further in the necessary direction 
Any other feedback?,,,,,,,,
,,,,,,,,
After Phase 2 - Light Switch,,,,,,,,
The system performed the task I wanted,,,,x,,,,
I felt in control,,,x,,,,,
The system responded to my input in the way that I expected,,,,x,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,x,,,,
The system improved over time,,x,,,,,,
I improved at using the system over time,,x,,,,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,x,,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,,
Please describe your input strategy,,,,,,,,"Same strategy as before, more compensating because missed more often"
Any other feedback?,,,,,,,,
,,,,,,,,
After Phase 3 - Light Switch,,,,,,,,
The system performed the task I wanted,,,,,x,,,
I felt in control,,,,,x,,,
The system responded to my input in the way that I expected,,,,,x,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,,
The system improved over time,,,,,,x,,
I improved at using the system over time,,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,x,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,,
Please describe your input strategy,,,,,,,,Same as before
Any other feedback?,,,,,,,,Felt like it got a lot easier all of sudden in the middle
,,,,,,,,
Bottle Maze,,,,,,,,
After Phase 1 - Bottle Maze,,,,,,,,
The system performed the task I wanted,,,,,,x,,
I felt in control,,,,,x,,,
The system responded to my input in the way that I expected,,,,,x,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,,
The system improved over time,,,,,x,,,
I improved at using the system over time,,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,,
Please describe your input strategy,,,,,,,,"Just looked in the direction of the target, sometimes a little bit off to side of the shelf it was on."
Any other feedback?,,,,,,,,
,,,,,,,,
After Phase 2 - Bottle Maze,,,,,,,,
The system performed the task I wanted,,,,,,x,,
I felt in control,,,,,x,,,
The system responded to my input in the way that I expected,,,,,x,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,,
The system improved over time,,,,,,x,,
I improved at using the system over time,,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,,
Please describe your input strategy,,,,,,,,"Same as before, but more often on target "
Any other feedback?,,,,,,,,
,,,,,,,,
After Phase 3 - Bottle Maze,,,,,,,,
The system performed the task I wanted,,,,,,x,,
I felt in control,,,,,,x,,
The system responded to my input in the way that I expected,,,,,,x,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,,
The system improved over time,,,,,x,,,
I improved at using the system over time,,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,,x,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,,
Please describe your input strategy,,,,,,,,Same as before
Any other feedback?,,,,,,,,
,,,,,,,,
What kind of webcam setup did you use?,,,,,,,,Macbook Pro webcam
