#{"t_start": 1586766955.8317456, "env_id": null}
r,l,t
-260.0,30,1.346535
-280.0,30,1.361176
-300.0,30,1.375892
-200.0,30,1.739964
-300.0,30,1.851646
-340.0,30,1.95939
-300.0,30,2.057665
-380.0,30,2.156737
-300.0,30,2.256134
-400.0,30,2.356863
-360.0,30,2.45639
-300.0,30,2.567649
-260.0,30,2.673752
-460.0,30,2.789168
-460.0,30,2.917831
-480.0,30,3.018226
-480.0,30,3.117126
-480.0,30,3.220568
-580.0,30,3.32497
-600,30,3.42951
-420.0,30,3.542344
-600,30,3.648008
-540.0,30,3.771603
-360.0,30,3.877149
-580.0,30,3.981632
-580.0,30,4.080266
-600,30,4.17996
-600,30,4.279554
-600,30,4.378712
-600,30,4.48825
-600,30,4.60093
-600,30,4.701992
-600,30,4.800941
-600,30,4.899324
-600,30,5.005183
-600,30,5.109845
600.0,30,5.21154
-600,30,5.311403
-600,30,5.410233
-600,30,5.509118
-600,30,5.613276
-600,30,5.71615
-600,30,5.814603
-600,30,5.912533
-600,30,6.010303
-600,30,6.116753
-600,30,6.216083
-600,30,6.315184
-600,30,6.414435
-600,30,6.512966
-600,30,6.617652
-600,30,6.722653
-600,30,6.828519
-600,30,6.933157
-600,30,7.037425
-600,30,7.14437
-600,30,7.25008
-600,30,7.357359
-600,30,7.47245
720.0,30,7.588704
-600,30,7.695158
-600,30,7.810488
-600,30,7.917537
-600,30,8.024055
-600,30,8.128429
-600,30,8.236623
-600,30,8.342945
-600,30,8.451155
-600,30,8.564506
-600,30,8.671573
-600,30,8.778182
-600,30,8.884842
-600,30,8.983954
-600,30,9.084683
-600,30,9.184553
-600,30,9.289201
-600,30,9.389422
-600,30,9.489998
-600,30,9.593671
-600,30,9.693512
-600,30,9.792721
-600,30,9.896408
-600,30,10.000848
-600,30,10.104337
-600,30,10.204608
-600,30,10.310194
-600,30,10.409718
-600,30,10.509781
-600,30,10.613108
-600,30,10.720714
-600,30,10.829796
-600,30,10.939311
-600,30,11.0387
-600,30,11.138575
-600,30,11.250734
-600,30,11.363595
-600,30,11.470879
-600,30,11.58012
-600,30,11.692065
-600,30,11.818761
-600,30,11.933942
-600,30,12.047479
-600,30,12.159657
-600,30,12.258864
-600,30,12.359178
-600,30,12.467165
-600,30,12.574176
-600,30,12.687383
-600,30,12.796227
-600,30,12.903442
-600,30,13.004309
-600,30,13.108871
-600,30,13.207841
-600,30,13.317385
-600,30,13.423179
-600,30,13.533864
-600,30,13.647177
-600,30,13.757141
-600,30,13.864307
-600,30,13.990873
-600,30,14.091716
-600,30,14.201745
-600,30,14.308174
-600,30,14.413343
-600,30,14.522161
-600,30,14.632116
-600,30,14.741247
-600,30,14.847262
-600,30,14.951049
-600,30,15.050359
-600,30,15.155878
-600,30,15.261441
-600,30,15.372636
-600,30,15.479004
-600,30,15.588463
-600,30,15.699344
-600,30,15.805353
-600,30,15.910167
-600,30,16.015315
-600,30,16.117309
-600,30,16.220279
-600,30,16.327207
-600,30,16.438201
-600,30,16.543393
-600,30,16.653324
-600,30,16.763948
-600,30,16.869502
-600,30,16.974644
-600,30,17.07953
2880.0,30,17.183133
-600,30,17.287832
-600,30,17.397275
-600,30,17.50421
-600,30,17.609834
-600,30,17.724576
-600,30,17.830386
-600,30,17.937244
-600,30,18.043152
-600,30,18.143741
-600,30,18.242801
-600,30,18.349255
-600,30,18.455203
-600,30,18.571912
-600,30,18.675223
-600,30,18.784902
-600,30,18.884088
-600,30,18.98857
-600,30,19.098513
-600,30,19.201289
-600,30,19.303588
-600,30,19.414774
-600,30,19.520879
-600,30,19.626903
-600,30,19.73811
-600,30,19.850122
-600,30,19.955313
-600,30,20.055263
-600,30,20.156486
-600,30,20.256407
-600,30,20.356974
-600,30,20.461645
-600,30,20.566942
-600,30,20.674252
-600,30,20.785738
-600,30,20.894342
-600,30,20.996492
-600,30,21.103467
-600,30,21.20527
-600,30,21.306287
-600,30,21.407137
-600,30,21.518424
-600,30,21.624695
-600,30,21.736801
-600,30,21.842092
-600,30,21.950775
-600,30,22.056688
-600,30,22.159751
-600,30,22.258559
-600,30,22.356861
-600,30,22.467957
-600,30,22.576385
-600,30,22.68326
-600,30,22.795525
-600,30,22.899648
-600,30,23.007204
-600,30,23.119508
-600,30,23.22529
-600,30,23.331394
-600,30,23.437815
-600,30,23.557099
-600,30,23.666671
-600,30,23.778571
-600,30,23.88907
-600,30,24.002417
-600,30,24.130305
-600,30,24.231923
-600,30,24.334366
-600,30,24.436952
-600,30,24.54053
-600,30,24.641226
960.0,30,24.750231
-600,30,24.862395
-600,30,24.968895
-600,30,25.076768
-600,30,25.182427
-600,30,25.284212
-600,30,25.388168
-600,30,25.488444
-600,30,25.588409
-600,30,25.687866
-600,30,25.797593
-600,30,25.898603
-600,30,25.998621
-600,30,26.09945
-600,30,26.20726
-600,30,26.309844
-600,30,26.411518
-600,30,26.512416
-600,30,26.613603
-600,30,26.716727
-600,30,26.826207
-600,30,26.928821
-600,30,27.02917
-580.0,30,27.130908
-600,30,27.24039
-600,30,27.350105
-600,30,27.456781
-600,30,27.564106
-600,30,27.67119
-600,30,27.784521
-120.0,30,27.914897
-600,30,28.016074
-600,30,28.116591
-600,30,28.219109
-600,30,28.329577
-600,30,28.43518
-580.0,30,28.539526
-600,30,28.645853
-600,30,28.751599
-600,30,28.877008
-600,30,28.985518
-600,30,29.090759
-600,30,29.214333
-600,30,29.336113
-600,30,29.441571
-600,30,29.54728
-600,30,29.653642
-600,30,29.75946
-600,30,29.870046
-600,30,29.979362
-600,30,30.084818
-600,30,30.185858
-600,30,30.285959
-600,30,30.394274
-600,30,30.500917
-600,30,30.607148
-600,30,30.714733
-580.0,30,30.821457
-600,30,30.934756
-600,30,31.041209
-600,30,31.142569
-600,30,31.242097
-600,30,31.341812
-600,30,31.446081
-580.0,30,31.550817
-600,30,31.657604
-580.0,30,31.766055
-600,30,31.878571
-600,30,31.985714
-600,30,32.095129
-600,30,32.195432
-600,30,32.295281
-600,30,32.394767
-600,30,32.498375
-600,30,32.612421
-600,30,32.718082
-600,30,32.841583
-600,30,32.971103
-600,30,33.074341
-540.0,30,33.185218
-600,30,33.287383
-600,30,33.386852
-600,30,33.491657
-600,30,33.602094
-600,30,33.707361
-600,30,33.814765
-600,30,33.925195
-600,30,34.031063
-600,30,34.133823
-600,30,34.242841
-600,30,34.357549
-600,30,34.479851
-580.0,30,34.58856
-600,30,34.697053
-600,30,34.803753
-600,30,34.915128
-600,30,35.016233
-560.0,30,35.118343
-600,30,35.229272
-600,30,35.335355
-560.0,30,35.442339
-560.0,30,35.54773
-600,30,35.658448
-600,30,35.763769
-600,30,35.864422
-600,30,35.972492
-600,30,36.077474
-40.0,30,36.178218
-580.0,30,36.283001
-600,30,36.391894
-580.0,30,36.49844
-600,30,36.604791
-600,30,36.713489
-600,30,36.973807
-600,30,37.079411
-600,30,37.18641
-260.0,30,37.288697
-540.0,30,37.39993
-600,30,37.507202
0.0,30,37.614577
-600,30,37.732494
-600,30,37.842584
-560.0,30,37.953502
-600,30,38.059633
-600,30,38.161412
-600,30,38.261121
0.0,30,38.362051
-600,30,38.470506
-600,30,38.576673
0.0,30,38.685404
-600,30,38.794053
0.0,30,38.905892
-600,30,39.012291
0.0,30,39.114248
-600,30,39.214054
-600,30,39.313349
-600,30,39.412437
-600,30,39.520586
0.0,30,39.626572
-600,30,39.733525
-600,30,39.839764
-600,30,39.948289
-600,30,40.051328
-600,30,40.153524
-600,30,40.257308
-600,30,40.364549
-600,30,40.470039
0.0,30,40.582896
-600,30,40.695146
0.0,30,40.805677
-600,30,40.906418
-240.0,30,41.021145
-600,30,41.126156
-600,30,41.232513
-600,30,41.334241
-600,30,41.438879
-540.0,30,41.545076
-580.0,30,41.656459
-600,30,41.764095
-600,30,41.889826
-600,30,42.001404
-600,30,42.123715
-600,30,42.224095
-140.0,30,42.324709
-600,30,42.426745
-600,30,42.529213
-600,30,42.635566
-600,30,42.743267
-600,30,42.850615
-80.0,30,42.957453
-600,30,43.068115
-160.0,30,43.173656
-600,30,43.285184
-600,30,43.391863
-600,30,43.498728
-600,30,43.603899
-600,30,43.713784
-600,30,43.821676
-600,30,43.926531
-60.0,30,44.042938
-600,30,44.152913
-600,30,44.260204
-600,30,44.365601
-600,30,44.470925
-600,30,44.595294
-60.0,30,44.703379
0.0,30,44.809215
-600,30,44.908651
-600,30,45.009426
0.0,30,45.114826
-600,30,45.222867
-600,30,45.328888
0.0,30,45.435721
-40.0,30,45.541686
-600,30,45.649121
-560.0,30,45.754583
0.0,30,45.864658
-600,30,45.970214
-220.0,30,46.08047
-600,30,46.181083
-100.0,30,46.28966
-600,30,46.395796
-600,30,46.506068
-600,30,46.619785
-600,30,46.726503
-600,30,46.835473
0.0,30,46.941906
-600,30,47.046189
-600,30,47.150801
-600,30,47.250968
-180.0,30,47.360512
-120.0,30,47.467627
-600,30,47.573643
-600,30,47.680078
-540.0,30,47.786117
-600,30,47.894359
960.0,30,48.000283
-600,30,48.109289
-600,30,48.20822
-600,30,48.307072
-600,30,48.414923
-600,30,48.519838
0.0,30,48.625583
-200.0,30,48.731922
-600,30,48.838512
-580.0,30,48.947543
-600,30,49.054296
-280.0,30,49.165132
-140.0,30,49.270819
0.0,30,49.39885
-600,30,49.51135
-340.0,30,49.61681
-600,30,49.72305
-240.0,30,49.829499
2520.0,30,49.935594
-600,30,50.043987
-60.0,30,50.150203
-600,30,50.249963
-600,30,50.350052
-80.0,30,50.454358
-600,30,50.563527
-600,30,50.669874
0.0,30,50.777533
-600,30,50.883244
-600,30,50.985317
-540.0,30,51.094836
-600,30,51.194586
-600,30,51.309155
0.0,30,51.41596
-600,30,51.529064
-600,30,51.629483
-600,30,51.729356
-600,30,51.829726
0.0,30,51.930216
-40.0,30,52.030366
-600,30,52.136845
-600,30,52.237211
0.0,30,52.337429
-600,30,52.436939
-600,30,52.539757
0.0,30,52.649885
-600,30,52.754744
-600,30,52.861064
-60.0,30,52.967115
-600,30,53.079084
-600,30,53.19284
-600,30,53.298709
-320.0,30,53.405755
-600,30,53.525858
-600,30,53.634712
-600,30,53.740363
0.0,30,53.847255
2400.0,30,53.952252
-600,30,54.053673
-360.0,30,54.158796
-600,30,54.266433
-600,30,54.372967
-600,30,54.48019
-600,30,54.585788
-600,30,54.701676
-20.0,30,54.827365
0.0,30,54.933755
-40.0,30,55.048631
0.0,30,55.155584
-600,30,55.256339
-600,30,55.363982
-600,30,55.470577
-20.0,30,55.578655
-600,30,55.685429
-40.0,30,55.796193
-600,30,55.903197
-600,30,56.004809
-600,30,56.10525
0.0,30,56.221988
-600,30,56.328659
-600,30,56.437937
-600,30,56.544066
0.0,30,56.652616
-580.0,30,56.760415
-600,30,56.869704
-600,30,56.9722
-600,30,57.069967
-600,30,57.181325
-600,30,57.28718
-600,30,57.399316
-600,30,57.501241
-600,30,57.607443
-600,30,57.714669
-600,30,57.850585
-600,30,57.97088
-600,30,58.087433
-60.0,30,58.199101
-600,30,58.304691
-600,30,58.409822
-600,30,58.525094
-600,30,58.632739
-600,30,58.73957
-600,30,58.855872
-600,30,58.974516
-560.0,30,59.080183
-600,30,59.210224
1080.0,30,59.31892
-600,30,59.426136
-600,30,59.533766
-600,30,59.632692
-600,30,59.732335
-600,30,59.832561
-580.0,30,59.934777
0.0,30,60.042149
-600,30,60.145891
-400.0,30,60.257378
-600,30,60.372814
0.0,30,60.473664
-600,30,60.578492
-600,30,60.685904
-600,30,60.7931
-600,30,60.901817
-600,30,61.009796
-600,30,61.113451
-560.0,30,61.217946
-600,30,61.321341
-600,30,61.421735
-600,30,61.525344
-600,30,61.630782
-600,30,61.73855
-600,30,61.845006
-600,30,61.950579
-600,30,62.060833
-480.0,30,62.161691
-600,30,62.269063
-60.0,30,62.369207
-600,30,62.469054
-600,30,62.56987
-600,30,62.683835
-480.0,30,62.803591
-600,30,62.926136
-600,30,63.032344
-320.0,30,63.141559
-600,30,63.248362
-600,30,63.348906
-600,30,63.449097
-360.0,30,63.549318
-600,30,63.6503
-600,30,63.753483
-240.0,30,63.854687
-600,30,63.957114
-220.0,30,64.063234
-600,30,64.169035
-600,30,64.281124
-60.0,30,64.388606
-600,30,64.500219
-600,30,64.607367
-60.0,30,64.71507
-260.0,30,64.827392
-600,30,64.951602
-600,30,65.058617
-600,30,65.165174
-560.0,30,65.28095
-580.0,30,65.38811
-600,30,65.502287
-400.0,30,65.609865
-600,30,65.717673
-600,30,65.827538
600.0,30,65.937244
240.0,30,66.037747
-40.0,30,66.137916
-280.0,30,66.238487
-180.0,30,66.352843
-540.0,30,66.459416
-600,30,66.566223
-600,30,66.673449
-600,30,66.782199
-300.0,30,66.889575
-600,30,66.995261
-600,30,67.099988
-600,30,67.207191
-580.0,30,67.319589
-600,30,67.435115
-600,30,67.541923
1440.0,30,67.649167
-560.0,30,67.75479
-600,30,67.862523
-560.0,30,67.972035
-440.0,30,68.078077
-360.0,30,68.179802
-600,30,68.283227
-600,30,68.388668
-560.0,30,68.491207
-20.0,30,68.590572
-540.0,30,68.690873
-20.0,30,68.792403
-600,30,68.892053
-600,30,68.991897
-600,30,69.099428
-600,30,69.215206
-600,30,69.3299
-600,30,69.437899
-600,30,69.543328
-380.0,30,69.645666
0.0,30,69.747689
-600,30,69.850386
-460.0,30,69.952105
-60.0,30,70.054354
-600,30,70.161479
-600,30,70.265406
-600,30,70.373066
-560.0,30,70.47611
-600,30,70.582447
-600,30,70.684093
-600,30,70.795879
-600,30,70.903658
-120.0,30,71.006419
-600,30,71.109456
-300.0,30,71.221888
-600,30,71.326786
-80.0,30,71.436533
-600,30,71.539683
-600,30,71.651868
-600,30,71.761692
-600,30,71.887804
-600,30,71.99589
-600,30,72.119947
-600,30,72.231926
-260.0,30,72.342806
40.0,30,72.456988
-600,30,72.564934
-600,30,72.79114
0.0,30,72.898797
-600,30,73.005946
240.0,30,73.106736
-600,30,73.208666
-560.0,30,73.322948
-600,30,73.436399
-40.0,30,73.5443
-400.0,30,73.652577
-500.0,30,73.765316
-580.0,30,73.877816
-400.0,30,73.986172
-600,30,74.093939
-600,30,74.195767
-600,30,74.303968
-580.0,30,74.418543
-560.0,30,74.527412
0.0,30,74.635966
-600,30,74.748434
-600,30,74.857096
-600,30,74.964642
0.0,30,75.078311
0.0,30,75.187145
0.0,30,75.292457
-600,30,75.413128
-40.0,30,75.521594
-540.0,30,75.630393
-560.0,30,75.738557
-600,30,75.846533
-360.0,30,75.949586
-120.0,30,76.051799
-600,30,76.153389
-600,30,76.254503
-600,30,76.362928
-180.0,30,76.48014
-200.0,30,76.582919
-180.0,30,76.685424
-560.0,30,76.7874
0.0,30,76.896627
-220.0,30,77.000914
-340.0,30,77.104423
-180.0,30,77.209609
-180.0,30,77.313332
-20.0,30,77.424103
-600,30,77.534349
-180.0,30,77.642608
-600,30,77.750946
-240.0,30,77.859518
-600,30,77.968669
-600,30,78.070207
-600,30,78.172347
-360.0,30,78.274523
-600,30,78.377178
-160.0,30,78.483149
0.0,30,78.602787
0.0,30,78.711825
-600,30,78.820395
-60.0,30,78.933462
-600,30,79.046092
-480.0,30,79.155303
2040.0,30,79.266305
-20.0,30,79.37969
0.0,30,79.493109
-260.0,30,79.603664
-20.0,30,79.711406
-300.0,30,79.819133
-500.0,30,79.927148
-160.0,30,80.038231
-180.0,30,80.141815
0.0,30,80.243432
-420.0,30,80.344357
0.0,30,80.446382
-220.0,30,80.548089
-600,30,80.652944
0.0,30,80.760057
-340.0,30,80.86717
-420.0,30,80.970171
0.0,30,81.078637
-120.0,30,81.188385
-560.0,30,81.293874
-100.0,30,81.39971
-220.0,30,81.516863
0.0,30,81.623118
-200.0,30,81.733764
-600,30,81.840969
-40.0,30,81.947243
-80.0,30,82.055816
-80.0,30,82.161972
-20.0,30,82.268568
-200.0,30,82.370324
-280.0,30,82.472977
-80.0,30,82.582094
0.0,30,82.689039
-360.0,30,82.799966
-160.0,30,82.906247
-40.0,30,83.01316
-160.0,30,83.124401
-540.0,30,83.23405
-360.0,30,83.340638
0.0,30,83.447368
-600,30,83.570905
-40.0,30,83.677252
-380.0,30,83.784361
-40.0,30,83.894845
0.0,30,84.001408
-600,30,84.106242
0.0,30,84.206834
-120.0,30,84.311042
-300.0,30,84.410452
-400.0,30,84.514244
-600,30,84.613229
-600,30,84.713908
-40.0,30,84.814234
-300.0,30,84.92288
-600,30,85.03019
-180.0,30,85.133956
-600,30,85.245511
-180.0,30,85.3709
0.0,30,85.48734
-600,30,85.601143
-560.0,30,85.709187
-540.0,30,85.817898
-220.0,30,85.928285
0.0,30,86.039246
-600,30,86.149157
-460.0,30,86.254842
-200.0,30,86.36389
-240.0,30,86.464563
520.0,30,86.570659
-40.0,30,86.672384
0.0,30,86.774673
-300.0,30,86.877802
-560.0,30,86.984356
-540.0,30,87.092782
-600,30,87.192889
-180.0,30,87.29278
-600,30,87.397559
-160.0,30,87.509912
-140.0,30,87.622425
0.0,30,87.729591
-320.0,30,87.85714
0.0,30,87.963244
-600,30,88.072293
0.0,30,88.173571
-600,30,88.274307
-600,30,88.37454
-280.0,30,88.47861
-600,30,88.589337
0.0,30,88.695636
-160.0,30,88.802379
-520.0,30,88.922373
-520.0,30,89.022745
-600,30,89.1281
-600,30,89.250329
0.0,30,89.357281
-320.0,30,89.463738
-600,30,89.578351
-60.0,30,89.684886
-60.0,30,89.791679
0.0,30,89.899105
-60.0,30,90.000734
0.0,30,90.100986
-600,30,90.20996
-300.0,30,90.317567
0.0,30,90.425082
-540.0,30,90.531082
-260.0,30,90.642611
-200.0,30,90.745041
-40.0,30,90.851778
-600,30,90.956966
-600,30,91.05725
-200.0,30,91.158241
-600,30,91.272467
-520.0,30,91.378432
-300.0,30,91.484844
-200.0,30,91.595938
0.0,30,91.70773
0.0,30,91.817776
0.0,30,91.924179
-100.0,30,92.031358
-360.0,30,92.136628
-600,30,92.244109
920.0,30,92.344372
-520.0,30,92.443084
-600,30,92.542105
-20.0,30,92.647064
0.0,30,92.756192
-60.0,30,92.8879
-260.0,30,92.990776
0.0,30,93.100757
-600,30,93.202282
-500.0,30,93.309689
-180.0,30,93.417436
-400.0,30,93.523722
0.0,30,93.635504
0.0,30,93.745641
-600,30,93.851267
0.0,30,93.95725
-220.0,30,94.064228
0.0,30,94.167109
-580.0,30,94.272227
-580.0,30,94.382103
-580.0,30,94.493749
0.0,30,94.599226
-480.0,30,94.711608
-360.0,30,94.82209
-500.0,30,94.926941
0.0,30,95.027092
0.0,30,95.129446
0.0,30,95.235131
-540.0,30,95.341971
-420.0,30,95.455848
-600,30,95.573483
-400.0,30,95.684606
0.0,30,95.791617
-40.0,30,95.901255
160.0,30,96.007785
-440.0,30,96.112664
0.0,30,96.216346
-40.0,30,96.327312
-120.0,30,96.434978
-160.0,30,96.541397
-500.0,30,96.640463
-20.0,30,96.744885
-60.0,30,96.846259
-200.0,30,96.953254
-80.0,30,97.053669
-440.0,30,97.154143
-480.0,30,97.25655
-60.0,30,97.359039
-560.0,30,97.460784
-600,30,97.566075
-20.0,30,97.680177
-580.0,30,97.795616
-460.0,30,97.901987
1320.0,30,98.011998
-520.0,30,98.116609
0.0,30,98.218373
-600,30,98.319077
-500.0,30,98.420029
0.0,30,98.521518
-200.0,30,98.624898
0.0,30,98.730356
0.0,30,98.830659
0.0,30,98.930882
-40.0,30,99.035558
-60.0,30,99.141639
-20.0,30,99.248456
0.0,30,99.354826
-340.0,30,99.46306
-480.0,30,99.568955
-500.0,30,99.678286
-280.0,30,99.791061
0.0,30,99.897844
-320.0,30,99.999001
-40.0,30,100.102102
-20.0,30,100.202285
-20.0,30,100.302518
-600,30,100.402872
-60.0,30,100.502991
0.0,30,100.60294
0.0,30,100.714756
0.0,30,100.822546
-300.0,30,100.929684
-20.0,30,101.040173
0.0,30,101.152671
-600,30,101.255988
-400.0,30,101.357556
0.0,30,101.458609
-600,30,101.558396
-280.0,30,101.659246
-500.0,30,101.771256
-300.0,30,101.891955
-20.0,30,101.995127
-600,30,102.118869
-40.0,30,102.230039
0.0,30,102.337057
0.0,30,102.44422
0.0,30,102.55089
-40.0,30,102.657765
-100.0,30,102.770705
-60.0,30,102.888361
-60.0,30,102.990639
-260.0,30,103.092754
0.0,30,103.19794
-100.0,30,103.311692
140.0,30,103.417713
-180.0,30,103.524132
-560.0,30,103.62997
-460.0,30,103.740098
-300.0,30,103.848647
-140.0,30,103.957337
-20.0,30,104.063269
-420.0,30,104.165313
-560.0,30,104.265708
-400.0,30,104.372974
0.0,30,104.47974
-360.0,30,104.585268
0.0,30,104.691639
0.0,30,104.803579
-600,30,104.911689
-60.0,30,105.053691
-20.0,30,105.157358
-40.0,30,105.257041
-40.0,30,105.360919
0.0,30,105.468595
0.0,30,105.574629
-60.0,30,105.697638
-60.0,30,105.813453
-520.0,30,105.919458
0.0,30,106.029161
-220.0,30,106.129685
0.0,30,106.230893
0.0,30,106.330112
-140.0,30,106.434137
-400.0,30,106.549608
-220.0,30,106.663472
-60.0,30,106.772478
0.0,30,106.883241
-360.0,30,106.986587
0.0,30,107.095006
-360.0,30,107.198546
-440.0,30,107.30494
-600,30,107.411602
-520.0,30,107.521085
-360.0,30,107.627603
0.0,30,107.733655
-120.0,30,107.84551
0.0,30,107.949914
0.0,30,108.050134
-20.0,30,108.154862
-20.0,30,108.25613
-40.0,30,108.357413
-580.0,30,108.462622
0.0,30,108.684998
0.0,30,108.792789
-200.0,30,108.905227
-560.0,30,109.006084
-600,30,109.106423
-580.0,30,109.209047
-440.0,30,109.312776
-440.0,30,109.418557
-60.0,30,109.525296
-140.0,30,109.633684
-120.0,30,109.740455
-340.0,30,109.85224
-80.0,30,109.958081
0.0,30,110.063434
0.0,30,110.169414
-600,30,110.282799
-580.0,30,110.388563
-100.0,30,110.494664
-180.0,30,110.600623
-80.0,30,110.711243
0.0,30,110.821366
0.0,30,110.931882
0.0,30,111.031486
0.0,30,111.136456
-580.0,30,111.24161
0.0,30,111.359972
-500.0,30,111.466313
0.0,30,111.572543
-320.0,30,111.681994
-540.0,30,111.791862
0.0,30,111.903536
-100.0,30,112.004394
0.0,30,112.104227
-120.0,30,112.205991
-580.0,30,112.305381
-20.0,30,112.419549
-380.0,30,112.521973
-440.0,30,112.63356
-60.0,30,112.741791
-20.0,30,112.855091
-80.0,30,112.960126
-60.0,30,113.068782
-200.0,30,113.170777
-460.0,30,113.272691
-200.0,30,113.37384
-420.0,30,113.495585
-20.0,30,113.60117
-600,30,113.701967
-20.0,30,113.805412
0.0,30,113.917309
-20.0,30,114.017667
0.0,30,114.119156
0.0,30,114.22062
-340.0,30,114.320794
0.0,30,114.421121
-80.0,30,114.530249
-520.0,30,114.638972
-560.0,30,114.745766
-200.0,30,114.855739
-240.0,30,114.964474
-220.0,30,115.06343
-440.0,30,115.178859
-480.0,30,115.295636
-260.0,30,115.405477
-120.0,30,115.516134
-300.0,30,115.622704
-20.0,30,115.730958
0.0,30,115.856161
-600,30,115.972623
0.0,30,116.077439
-560.0,30,116.188571
-180.0,30,116.289389
0.0,30,116.390129
0.0,30,116.490717
-580.0,30,116.596534
-600,30,116.703371
840.0,30,116.811998
-600,30,116.92363
-460.0,30,117.027597
-240.0,30,117.128137
0.0,30,117.22857
-80.0,30,117.329178
-600,30,117.431458
-560.0,30,117.530396
-20.0,30,117.634115
0.0,30,117.741305
-20.0,30,117.870287
-20.0,30,117.984908
-140.0,30,118.089615
-40.0,30,118.212964
-220.0,30,118.323725
0.0,30,118.428556
-140.0,30,118.533068
-40.0,30,118.645818
-100.0,30,118.755194
-520.0,30,118.876197
0.0,30,118.985862
-600,30,119.089766
-60.0,30,119.210226
-520.0,30,119.323279
-400.0,30,119.430714
-540.0,30,119.537762
-260.0,30,119.644044
0.0,30,119.753647
0.0,30,119.860132
-220.0,30,119.971548
-20.0,30,120.079876
-600,30,120.187877
-40.0,30,120.300274
-220.0,30,120.413851
-180.0,30,120.520872
-480.0,30,120.626447
0.0,30,120.73288
-20.0,30,120.846745
-400.0,30,120.957825
-80.0,30,121.060206
-40.0,30,121.161884
-420.0,30,121.269524
-140.0,30,121.375729
0.0,30,121.481959
740.0,30,121.587647
-540.0,30,121.694645
-40.0,30,121.801709
-60.0,30,121.911929
-300.0,30,122.022907
380.0,30,122.127117
0.0,30,122.230489
0.0,30,122.34341
-360.0,30,122.449813
-20.0,30,122.558448
0.0,30,122.665754
-280.0,30,122.780304
500.0,30,122.910137
-80.0,30,123.021437
-460.0,30,123.133809
-140.0,30,123.242731
-180.0,30,123.352573
-20.0,30,123.459379
-600,30,123.564443
-340.0,30,123.670612
0.0,30,123.777307
0.0,30,123.884605
-600,30,123.997595
-160.0,30,124.102217
440.0,30,124.201983
-300.0,30,124.303759
0.0,30,124.409371
-380.0,30,124.520415
-480.0,30,124.62588
-40.0,30,124.732871
0.0,30,124.839587
0.0,30,124.945886
-420.0,30,125.060401
-240.0,30,125.162711
-400.0,30,125.268923
-480.0,30,125.376736
-480.0,30,125.487427
-320.0,30,125.593576
-580.0,30,125.69986
240.0,30,125.806127
-600,30,125.912359
0.0,30,126.037035
300.0,30,126.142258
-420.0,30,126.243683
0.0,30,126.345306
-100.0,30,126.446538
0.0,30,126.552855
-20.0,30,126.659864
-20.0,30,126.766253
100.0,30,126.872817
-140.0,30,126.977355
0.0,30,127.076958
0.0,30,127.19337
-80.0,30,127.302421
-160.0,30,127.413522
0.0,30,127.521132
-220.0,30,127.62515
0.0,30,127.726132
0.0,30,127.827268
-20.0,30,127.925866
0.0,30,128.027089
-280.0,30,128.127454
0.0,30,128.236415
-120.0,30,128.360133
-340.0,30,128.483072
-320.0,30,128.589268
-180.0,30,128.703813
-160.0,30,128.814121
-160.0,30,128.924565
-480.0,30,129.033776
0.0,30,129.143398
-600,30,129.260361
-320.0,30,129.370798
480.0,30,129.48212
-160.0,30,129.591457
-120.0,30,129.706901
-580.0,30,129.817539
-520.0,30,129.92785
-440.0,30,130.037942
20.0,30,130.150913
0.0,30,130.262304
0.0,30,130.378272
-220.0,30,130.488917
-140.0,30,130.599283
-140.0,30,130.713789
-460.0,30,130.826585
0.0,30,130.935521
0.0,30,131.039046
0.0,30,131.14514
0.0,30,131.265988
-260.0,30,131.379889
-580.0,30,131.490875
-600,30,131.600616
-20.0,30,131.71207
0.0,30,131.840578
0.0,30,131.955568
-380.0,30,132.075053
-600,30,132.192537
-600,30,132.304111
-600,30,132.411329
0.0,30,132.518148
-320.0,30,132.621631
1260.0,30,132.725796
-260.0,30,132.836034
-80.0,30,132.946707
-600,30,133.049838
-560.0,30,133.153691
0.0,30,133.265468
0.0,30,133.384095
0.0,30,133.508805
-520.0,30,133.623631
0.0,30,133.73156
-600,30,133.838511
0.0,30,133.949528
-80.0,30,134.055668
-240.0,30,134.158499
