#{"t_start": 1583527492.583998, "env_id": "cursorcontrol-v1"}
r,l,t
-191.515179,30,5.868003
-177.052048,30,5.907657
-256.942657,30,5.946706
-250.752181,30,7.77536
-230.711009,30,8.255331
-221.851499,30,8.724447
-216.826534,30,9.390209
-197.908303,30,9.871156
-242.109553,30,10.369202
-225.862311,30,10.901765
-193.931633,30,11.389647
-158.7113,30,11.852141
-240.290839,30,12.297549
-247.175739,30,12.773997
-237.090119,30,13.248668
-214.922282,30,13.727973
-221.03213,30,14.201838
-258.469831,30,14.669299
-240.494366,30,15.123836
-223.63085,30,15.59568
-205.859096,30,16.085664
-262.278378,30,16.54529
-135.859034,30,17.055142
-238.182142,30,17.709982
-144.256701,30,18.180626
-194.822295,30,18.670518
-250.990003,30,19.112278
-242.020612,30,19.575401
-112.213846,30,20.059883
-252.095409,30,20.518972
-53.405787,30,20.972707
-226.335803,30,21.424015
-252.786681,30,21.875282
-143.974134,30,22.340533
-261.312312,30,22.792352
-238.037178,30,23.269003
-106.626223,30,23.718831
-176.427458,30,24.160174
-208.165939,30,24.627789
-215.984386,30,25.086926
-218.359819,30,25.555326
-197.906838,30,26.115304
-249.580216,30,26.700455
-229.670897,30,27.133444
-102.868243,30,27.602844
13.451996,30,28.050597
-179.909444,30,28.540643
-245.872618,30,29.022923
-243.917392,30,29.51641
-237.624437,30,29.96424
-257.140199,30,30.454083
-215.254699,30,30.888105
-151.253204,30,31.352803
-180.37269,30,31.831497
-218.259684,30,32.312116
-195.074183,30,32.78149
-227.542408,30,33.247421
-209.57287,30,33.70004
-210.62448,30,34.179786
-243.068724,30,34.704128
-223.260705,30,35.182248
38.627483,30,35.632389
-174.236588,30,36.081814
58.992237,30,36.536078
-212.348992,30,36.983643
-245.75166,30,37.448086
-133.288604,30,37.895914
-230.425769,30,38.347155
-250.814254,30,38.802334
-166.257339,30,39.242451
-248.73078,30,39.741685
-174.344176,30,40.209846
-247.234952,30,40.675799
-220.879154,30,41.133315
-230.262922,30,41.602198
-203.049307,30,42.090574
-152.668942,30,42.561688
-178.390107,30,43.003034
-114.552844,30,43.456594
594.663346,23,43.818735
-207.31143,30,44.276142
613.609589,15,44.505557
-196.375884,30,44.966656
506.371084,15,45.209269
-216.292195,30,45.696013
-167.553821,30,46.179255
-212.785482,30,46.678012
-204.426869,30,47.139942
-252.402978,30,47.598069
-103.084634,30,48.045085
-256.711682,30,48.50768
-228.583579,30,48.960418
-225.247872,30,49.41718
-117.929512,30,49.874512
-243.529463,30,50.336431
-178.281127,30,50.838785
-215.142132,30,51.312758
584.138227,10,51.455718
-156.715947,30,51.922626
-233.284985,30,52.386886
-243.757151,30,52.837383
-197.34399,30,53.275384
-232.558847,30,53.73531
-257.474055,30,54.185214
-230.715454,30,54.644591
-244.478674,30,55.117057
-261.746999,30,55.577738
-84.025898,30,56.075199
-59.931034,30,56.569614
-239.972255,30,57.017175
20.219884,30,57.480138
439.277603,25,57.859975
626.720887,4,57.928273
-36.517875,30,58.41175
-196.946895,30,58.945366
-70.70868,30,59.457491
-248.934141,30,59.989135
-109.56029,30,60.459875
599.718041,17,60.722105
-21.147385,30,61.200153
555.854189,3,61.25305
508.877154,16,61.510348
-18.40113,30,62.167123
-140.095583,30,62.631435
