#{"t_start": 1583512637.0455966, "env_id": "cursorcontrol-v1"}
r,l,t
-7397.555095,167,10.698556
-24133.175815,500,17.745293
-24413.012917,500,25.443684
-24272.011927,500,32.945698
-24477.847712,500,40.309311
-24517.044481,500,47.392792
-23149.176503,500,54.421537
-22417.010283,500,61.704313
-23852.201471,500,69.07425
-24214.232783,500,76.082104
-24165.410289,500,83.080885
-22615.942342,500,90.166802
-24086.043606,500,97.679664
-24096.413744,500,104.90629
-24175.473722,500,111.921745
-23564.648587,500,118.995847
-24426.833906,500,125.970481
-23751.150297,500,134.607893
-24212.781572,500,145.326935
-24312.520782,500,158.378842
