#{"t_start": 1584347674.2506044, "env_id": "cursorcontrol-v2"}
r,l,t
1001.277091,2,7.834879
-1598.832798,30,7.875856
-1597.707598,30,7.92183
-1898.301479,30,7.96478
-1898.453139,30,10.245001
-1798.490991,30,10.661793
-1198.062428,30,11.069535
-1098.267575,30,11.505307
1001.257261,2,11.534289
-998.897577,30,11.942023
-698.322751,30,12.38177
-95.77969,30,12.825545
-398.745222,30,13.238282
-296.164786,30,13.675056
-298.595999,30,14.097816
-98.693576,30,14.61349
0.758299,30,15.153174
-198.443431,30,15.675879
2.43772,30,16.150599
-92.619153,30,16.607344
1.418039,30,17.047113
1.17639,30,17.609759
0.81947,30,18.102507
2.478363,30,18.548249
0.959724,30,19.009957
1.282962,30,19.457694
1.001252,30,21.188682
0.999676,30,22.167116
2.670778,30,22.850723
2.315023,30,23.247494
1.712661,30,23.556315
0.881382,30,23.798175
2.309429,30,24.031041
6.081201,30,24.262925
1.433394,30,24.488779
3.912053,30,24.726641
1.5086,30,24.941521
1.06826,30,25.200376
0.968551,30,26.020897
7.967377,30,26.534632
1.428631,30,27.049336
1.713607,30,27.556026
2.209404,30,28.08971
1.31167,30,28.651382
1.919065,30,29.10213
2.181401,30,29.55986
1.191391,30,29.98362
1.89973,30,30.41037
5.467235,30,30.839123
1.544346,30,31.253884
1.409437,30,31.683636
1.571798,30,32.108422
1.801035,30,32.52718
1.345681,30,32.967896
2.138232,30,33.39965
1.31773,30,33.872376
1.594153,30,34.311152
2.7998,30,34.735878
1.734309,30,35.153667
1.584723,30,35.592414
2.913873,30,36.014174
1.652342,30,36.437895
2.9799,30,36.890666
1.132469,30,37.311424
4.286212,30,37.739176
1.016138,30,38.166933
2.063401,30,38.609675
2.470922,30,39.070411
2.849948,30,39.488143
1.05386,30,39.972683
1.251125,30,40.417398
1.41601,30,40.850178
7.088535,30,41.283899
1.39467,30,41.729671
1.359866,30,42.154426
5.326866,30,42.605138
1.22335,30,43.023894
3.003986,30,43.465663
1.16761,30,43.957357
3.500813,30,44.448105
5.375281,30,44.890819
3.714943,30,45.419545
1.571905,30,45.849268
0.885448,30,46.265028
3.031177,30,46.697809
0.944956,30,47.124562
1.949605,30,47.54632
0.696843,30,47.96508
0.920285,30,48.381816
1.100444,30,48.827552
4.998156,30,49.24631
1.828338,30,49.665101
4.110152,30,50.105816
7.980879,30,50.518608
2.516875,30,50.93234
1.368875,30,51.351128
0.906838,30,51.762892
6.195747,30,52.175622
2.868393,30,52.640363
4.743197,30,53.097092
1.136501,30,53.539835
1.109131,30,53.95063
1.164505,30,54.367371
5.956078,30,54.795115
0.892888,30,55.202886
4.263673,30,55.616684
1.729911,30,56.045424
1.04784,30,56.462183
0.864871,30,56.874938
-97.028597,30,57.295703
1.554701,30,57.710464
0.684616,30,58.132192
1.747321,30,58.561944
1.497498,30,59.052392
0.965141,30,59.481171
4.348895,30,59.894934
1.94975,30,60.312663
2.008215,30,60.740417
1.260122,30,61.154184
1.425108,30,61.573965
0.648159,30,61.995723
2.454055,30,62.408485
4.266211,30,62.818226
-98.544051,30,63.257995
1.311609,30,63.672757
-98.290124,30,64.080491
-97.777538,30,64.508245
1.976951,30,64.930002
4.128675,30,65.344793
2.499991,30,65.764521
-98.476066,30,66.174285
1.69437,30,66.596046
0.935764,30,67.017797
1.476869,30,67.434589
2.220766,30,67.857323
1.62907,30,68.2831
1.98768,30,68.691864
-98.628683,30,69.106595
1.155435,30,69.534379
-99.196073,30,69.976125
1.662296,30,70.404877
1.234597,30,70.81764
-94.997687,30,71.320808
0.666503,30,71.751552
0.812265,30,72.159317
1.202586,30,72.596376
0.943215,30,73.019162
1.171422,30,73.434922
0.841402,30,73.858655
-98.795354,30,74.267442
3.58031,30,74.680176
0.989073,30,75.103931
1.60791,30,75.523691
1.162616,30,75.934482
-97.090076,30,76.361209
2.071234,30,76.775965
1.852444,30,77.18474
0.914901,30,77.621511
0.877509,30,78.042244
0.974566,30,78.462026
1.435478,30,78.887778
1.317194,30,79.303542
2.30122,30,79.730296
1.066472,30,80.147055
4.929263,30,80.567812
8.059597,30,80.986542
4.016104,30,81.410328
0.959408,30,81.827087
1.972414,30,82.269804
0.968454,30,82.695558
0.898927,30,83.127308
1.842926,30,83.565086
4.751619,30,83.981846
2.647234,30,84.402574
1.709871,30,84.827359
3.676519,30,85.243088
1.267663,30,85.671848
6.263917,30,86.104591
1.209961,30,86.517354
