#{"t_start": 1585076282.3026717, "env_id": "cursorcontrol-v0"}
r,l,t
-1097.559401,30,4.80181
-1398.633534,30,4.817811
-1796.595358,30,4.833809
-1798.895236,30,8.391954
-1398.739264,30,8.804916
-1298.49758,30,9.217954
-1598.996332,30,9.619918
-1398.514615,30,10.030915
-1598.401486,30,10.433954
-693.481228,30,10.836955
-98.466185,30,11.298917
-898.967482,30,11.77192
-98.949579,30,12.274919
0.81367,30,12.861954
1.050777,30,13.331918
-98.921937,30,13.825934
-98.701956,30,14.28592
1.497728,30,14.761919
1.669984,30,15.315913
5.297346,30,15.815954
0.941762,30,16.277955
2.606209,30,16.702917
2.560742,30,17.206955
1.579496,30,17.654929
2.321008,30,18.063956
1.20548,30,18.485954
1.992337,30,18.923934
2.038524,30,19.352954
1.012087,30,19.769954
1.243874,30,20.190954
1.2418,30,20.642954
4.494475,30,21.359916
1.75264,30,21.997916
2.062602,30,22.508927
1.156073,30,22.994913
1.280165,30,23.470917
3.028718,30,24.000916
1.785774,30,24.441913
1.343429,30,24.853964
1.866514,30,25.253949
1.154549,30,25.668934
1.863013,30,26.106913
0.968143,30,26.533954
1.951214,30,26.987954
2.380936,30,27.46992
1.09441,30,27.934957
1.589589,30,28.402918
1.855971,30,28.874913
1.150433,30,29.335955
1.244555,30,29.811917
2.242999,30,30.363918
3.889381,30,30.975916
1.221769,30,31.671929
1.213353,30,32.212912
1.872672,30,32.820934
1.011875,30,33.464916
1.3339,30,34.071918
0.902371,30,34.554934
1.742026,30,35.024915
1.115265,30,35.546954
2.320233,30,36.065915
1.872888,30,36.643935
0.969994,30,37.118934
8.216429,30,37.579912
6.450293,30,38.072912
0.64655,30,38.572914
3.353633,30,39.092915
1.796469,30,39.724933
1.005605,30,40.282935
2.433347,30,40.787949
1.032475,30,41.277917
1.405881,30,41.723955
2.337741,30,42.184938
1.537855,30,42.643912
2.643924,30,43.107918
2.096479,30,43.580913
2.023982,30,44.054955
1.051543,30,44.504954
1.503471,30,44.951915
1.157961,30,45.402915
7.003101,30,45.848917
2.924434,30,46.332932
1.286662,30,46.807955
0.804898,30,47.296956
1.036831,30,47.755919
0.711326,30,48.166955
1.475662,30,48.572918
1.142866,30,48.998937
1.695072,30,49.431954
2.384429,30,49.845955
1.036878,30,50.249954
2.65966,30,50.657954
1.703093,30,51.056954
1.135236,30,51.459954
1.619894,30,51.867917
0.904653,30,52.281917
1.171396,30,52.679955
1.296666,30,53.084917
1.418933,30,53.486918
1.635451,30,53.909954
1.163286,30,54.315954
1.397893,30,54.721955
1.269442,30,55.132926
0.957832,30,55.540956
1.301889,30,55.955955
3.426226,30,56.365955
1.040537,30,56.770961
1.205529,30,57.173954
0.900125,30,57.576955
1.911759,30,57.989955
1.186417,30,58.393955
0.650982,30,58.802954
2.635314,30,59.212918
2.276127,30,59.614954
1.041268,30,60.017917
1.220553,30,60.419935
0.986604,30,60.830916
4.646206,30,61.242956
1.585771,30,61.645956
1.509518,30,62.054918
1.141323,30,62.476928
0.908115,30,62.899917
0.969209,30,63.319955
3.696974,30,63.731954
4.046899,30,64.140954
1.254688,30,64.552918
7.326227,30,64.979918
4.259339,30,65.383935
1.590799,30,65.792918
1.193964,30,66.195955
0.820448,30,66.607917
2.163782,30,67.032918
1.436296,30,67.458935
3.099381,30,67.876955
1.059288,30,68.328954
1.948342,30,68.798917
1.416789,30,69.296955
1.02846,30,69.724954
0.935321,30,70.165919
1.513966,30,70.600915
1.989363,30,71.078954
3.656047,30,71.553956
1.449951,30,72.040918
1.106156,30,72.514937
1.488003,30,73.043918
2.612644,30,73.497918
3.385326,30,73.922955
1.31358,30,74.333934
1.214038,30,74.734913
1.175891,30,75.147955
1.102468,30,75.548955
2.04313,30,75.956917
0.71047,30,76.382956
2.22658,30,76.787918
2.416024,30,77.201957
0.841047,30,77.614917
1.1765,30,78.017955
1.175922,30,78.423921
2.045409,30,78.836955
1.651593,30,79.253954
1.738821,30,79.654918
0.806645,30,80.059918
1.447723,30,80.460955
2.368201,30,80.869954
1.181344,30,81.274956
1.126392,30,81.672954
1.225012,30,82.080916
1.028599,30,82.483918
1.289846,30,82.895916
1.280113,30,83.304954
8.422992,30,83.706917
2.616295,30,84.114919
1.263522,30,84.519956
1.116853,30,84.925918
1.371275,30,85.339917
1.121106,30,85.748917
0.904753,30,86.159918
2.368456,30,86.560954
2.612832,30,86.963918
0.661386,30,87.371917
1.297969,30,87.786918
2.163252,30,88.198954
2.030425,30,88.598957
1.040524,30,89.004955
1.825253,30,89.404926
4.348384,30,89.804954
1.059708,30,90.219954
1.427112,30,90.621918
1.423728,30,91.024935
1.685798,30,91.428914
2.192392,30,91.832918
1.555641,30,92.242954
0.99868,30,92.643926
0.771667,30,93.043916
1.583672,30,93.452955
1.470185,30,93.861918
1.084457,30,94.268955
1.319706,30,94.676957
1.047977,30,95.079934
1.610924,30,95.486957
1.38938,30,95.901918
1.941826,30,96.311918
1.668348,30,96.714955
1.936917,30,97.119934
3.002627,30,97.522917
1.24998,30,97.928934
1.065754,30,98.328954
0.984094,30,98.736917
2.908561,30,99.146956
2.169257,30,99.544954
2.113249,30,99.944954
1.678897,30,100.367918
1.143354,30,100.782955
0.985396,30,101.185918
2.472941,30,101.582917
1.027617,30,101.999935
2.03793,30,102.417955
0.869156,30,102.817955
0.685842,30,103.237935
0.83937,30,103.682929
1.274101,30,104.139933
1.59204,30,104.572934
1.854973,30,105.002955
1.019272,30,105.39992
1.297777,30,105.804958
1.176313,30,106.230917
1.422242,30,106.628918
5.701002,30,107.035954
1.204577,30,107.437954
1.883276,30,107.84496
1.117009,30,108.260917
1.443665,30,108.667955
1.434427,30,109.079934
1.242223,30,109.504917
1.761281,30,109.928956
1.316451,30,110.361917
4.357434,30,110.839955
4.124084,30,111.291915
3.633869,30,111.742918
1.281684,30,112.185955
0.979062,30,112.602954
1.273361,30,113.025918
0.766358,30,113.429955
1.002502,30,113.833955
3.067015,30,114.233918
1.986823,30,114.637955
1.162392,30,115.058935
1.111853,30,115.484917
0.836704,30,115.906956
1.650738,30,116.312917
1.129344,30,116.720922
1.482872,30,117.187934
1.109614,30,117.629918
4.628177,30,118.100914
1.443534,30,118.548917
1.644937,30,119.005916
1.757566,30,119.433935
2.113778,30,119.858916
1.495155,30,120.292913
0.951767,30,120.728918
1.860002,30,121.145955
1.340907,30,121.568918
0.792068,30,122.014918
1.469432,30,122.456916
1.323032,30,122.887918
1.781543,30,123.323911
6.216951,30,123.754914
