#{"t_start": 1586764785.9616225, "env_id": "velocitycontrol-v2"}
r,l,t
-380.0,30,4.079664
-320.0,30,4.145627
-300.0,30,4.217585
-280.0,30,6.191935
-220.0,30,6.597727
-460.0,30,6.991467
-380.0,30,7.389269
-280.0,30,7.776016
-400.0,30,8.16682
-400.0,30,8.560594
-320.0,30,8.948369
-420.0,30,9.34614
-540.0,30,9.730917
-500.0,30,10.121693
-320.0,30,10.509439
-440.0,30,10.899244
-520.0,30,11.297014
-580.0,30,11.688788
-540.0,30,12.074566
-600,30,12.460317
-460.0,30,12.848119
-420.0,30,13.246859
-560.0,30,13.631635
-560.0,30,14.020442
-580.0,30,14.420213
-600,30,14.803959
-580.0,30,15.196733
-600,30,15.588538
-600,30,15.971316
-600,30,16.359093
-580.0,30,16.749867
-580.0,30,17.143609
-580.0,30,17.534414
-580.0,30,17.917193
-580.0,30,18.306939
-600,30,18.695744
-600,30,19.085519
-580.0,30,19.475297
-600,30,19.861075
-600,30,20.247823
-600,30,20.641621
-600,30,21.04239
-600,30,21.430166
-600,30,21.836932
-600,30,22.241698
-600,30,22.630476
-600,30,23.017251
-600,30,23.404002
-600,30,23.791804
-600,30,24.183577
-600,30,24.573353
-600,30,24.959106
-600,30,25.347883
-600,30,25.751674
-600,30,26.142426
-600,30,26.53422
-600,30,26.915971
-600,30,27.312771
-600,30,27.699551
-600,30,28.087324
-600,30,28.4771
-600,30,28.867874
-600,30,29.263616
-600,30,29.657389
-600,30,30.044164
360.0,30,30.43297
-600,30,30.819718
-580.0,30,31.219499
-600,30,31.626253
-600,30,32.013029
-600,30,32.405832
-600,30,32.792608
-600,30,33.18835
-600,30,33.581154
-600,30,33.966931
-600,30,34.359706
-600,30,34.750479
-600,30,35.137256
-580.0,30,35.527031
-600,30,35.912809
-600,30,36.310579
-600,30,36.699355
-600,30,37.086131
-600,30,37.474907
-480.0,30,37.862654
-580.0,30,38.258455
-600,30,38.652203
-600,30,39.037006
-600,30,39.425781
-600,30,39.807533
-600,30,40.198336
-600,30,40.59011
-600,30,40.978854
-600,30,41.366631
-600,30,41.758435
-600,30,42.152182
-600,30,42.549978
-600,30,42.943723
-600,30,43.333526
-600,30,43.727298
-600,30,44.117074
-600,30,44.509826
-600,30,44.897623
-600,30,45.286373
-600,30,45.675174
-600,30,46.064925
-600,30,46.457723
-600,30,46.846501
-600,30,47.234275
-600,30,47.623053
-600,30,48.007828
-600,30,48.403601
-600,30,48.795375
-600,30,49.185149
-240.0,30,49.574925
-600,30,49.965669
-600,30,50.355444
-600,30,50.757241
-600,30,51.157981
-600,30,51.555748
-600,30,51.941558
-600,30,52.331333
-600,30,52.736073
-600,30,53.126874
-600,30,53.520617
-600,30,53.910422
-600,30,54.298176
-600,30,54.704964
-600,30,55.096738
-600,30,55.49148
-600,30,55.881285
-600,30,56.268063
-600,30,56.654808
-600,30,57.061604
-600,30,57.456376
-600,30,57.841154
-600,30,58.230929
-600,30,58.620674
-600,30,59.011451
-600,30,59.411251
-600,30,59.800024
-360.0,30,60.191768
-600,30,60.581573
-600,30,60.96732
-600,30,61.368119
-600,30,61.759863
-600,30,62.152666
-600,30,62.54541
-600,30,62.938213
-600,30,63.327962
-600,30,63.717762
-600,30,64.112536
-600,30,64.508306
-600,30,64.90108
-600,30,65.296851
-600,30,65.692623
-600,30,66.081398
-600,30,66.482167
-600,30,66.870913
-600,30,67.259721
-600,30,67.653464
-600,30,68.042268
-600,30,68.441007
-580.0,30,68.828812
-600,30,69.214591
-600,30,69.602337
-600,30,69.99514
-600,30,70.398875
-600,30,70.786683
-600,30,71.174459
-600,30,71.563237
2520.0,30,71.95301
-600,30,72.347783
-600,30,72.737558
-600,30,73.126333
-600,30,73.514111
-360.0,30,73.902884
-600,30,74.312617
-600,30,74.698396
-600,30,75.086202
-600,30,75.473979
-600,30,75.860757
-600,30,76.254528
-600,30,76.646302
-600,30,77.036077
-600,30,77.428818
-600,30,77.816596
-600,30,78.202374
-600,30,78.591179
-600,30,78.985929
-600,30,79.390688
-600,30,79.777495
-600,30,80.16627
-600,30,80.558044
-600,30,80.946819
-600,30,81.380544
-600,30,81.832276
-600,30,82.270056
-600,30,82.720767
-480.0,30,83.14153
-600,30,83.54532
-600,30,83.931097
-600,30,84.320873
-600,30,84.709619
-600,30,85.100424
-600,30,85.496194
-600,30,85.880972
-600,30,86.272747
-600,30,86.656524
-600,30,87.0493
-600,30,87.446069
-600,30,87.834815
-600,30,88.228619
-600,30,88.618363
-600,30,89.00617
-600,30,89.393913
-600,30,89.781721
-600,30,90.177493
-600,30,90.575263
-600,30,90.961041
-600,30,91.361809
-600,30,91.748587
-600,30,92.143333
-600,30,92.54013
-600,30,92.930904
-600,30,93.320679
-600,30,93.711453
-600,30,94.10023
-600,30,94.499973
-600,30,94.88975
-600,30,95.300536
-600,30,95.691311
-600,30,96.077088
-600,30,96.466863
-600,30,96.856638
-600,30,97.256407
-600,30,97.646183
-600,30,98.034958
-600,30,98.441723
-600,30,98.839494
-580.0,30,99.235236
-480.0,30,99.629038
-600,30,100.013785
-600,30,100.412586
-600,30,100.797335
