#{"t_start": 1583939806.7821143, "env_id": "cursorcontrol-v1"}
r,l,t
-127.875526,30,8.954387
-147.371694,30,8.985634
-178.749304,30,9.017107
-107.935165,30,12.56446
-128.795671,30,12.908193
-118.799919,30,13.267828
-77.887499,30,13.611523
-129.107837,30,13.955247
-68.125503,30,14.299002
-78.047178,30,14.65832
-17.340237,30,15.002963
-9.101566,30,15.346721
-17.873905,30,15.690415
-7.745176,30,16.034358
-16.002808,30,16.393737
0.798116,30,16.737464
-8.981807,30,17.097056
0.917059,30,17.440812
-5.227625,30,17.800129
-8.848227,30,18.159724
1.332392,30,18.550323
0.828084,30,18.94095
-8.994884,30,19.284872
-39.050758,30,19.628591
-7.867002,30,19.987939
-8.451486,30,20.331913
1.239121,30,20.691263
7.08878,30,21.050903
1.277372,30,21.394595
1.152,30,21.753942
1.39835,30,22.12914
13.493044,30,22.488518
0.987294,30,22.832218
1.788582,30,23.191909
1.143774,30,23.535668
-5.00713,30,23.926231
1.46863,30,24.28593
1.662403,30,24.629654
1.148109,30,24.973359
1.234068,30,25.348712
1.123266,30,25.692436
1.328962,30,26.052054
1.214317,30,26.411374
2.385683,30,26.770722
1.209394,30,27.14611
-18.853096,30,27.489866
-7.622477,30,27.849192
2.433551,30,28.193136
2.766231,30,28.53686
-8.384681,30,28.896209
0.96038,30,29.240199
1.158948,30,29.615147
-8.167879,30,30.021363
1.66488,30,30.380709
0.831118,30,30.724464
1.796726,30,31.115553
13.974788,30,31.521795
-8.629187,30,31.912362
-18.650736,30,32.31882
0.942435,30,32.662528
1.562406,30,33.100274
2.171928,30,33.490868
1.329535,30,33.912683
2.788356,30,34.287943
1.379417,30,34.662889
1.104394,30,35.038081
0.686156,30,35.397429
1.064295,30,35.834896
4.488855,30,36.210184
-8.412944,30,36.569505
1.358299,30,36.913236
-4.188475,30,37.272821
1.905364,30,37.632168
3.849679,30,37.975919
2.245234,30,38.335474
3.389863,30,38.6792
1.011516,30,39.02317
-8.834964,30,39.382488
-9.175845,30,39.726243
1.256242,30,40.086144
3.467227,30,40.429869
0.992045,30,40.789222
2.125214,30,41.13314
4.220879,30,41.492518
1.494795,30,41.851862
1.251553,30,42.195785
3.199139,30,42.539511
1.568053,30,42.89886
1.65859,30,43.289709
4.037403,30,43.649027
1.237734,30,44.00857
1.643424,30,44.383575
1.884467,30,44.7429
-7.374498,30,45.102502
-8.935127,30,45.446258
1.308519,30,45.805575
1.748819,30,46.1493
1.313525,30,46.493029
1.059235,30,46.83675
7.107556,30,47.197054
1.683103,30,47.540748
-8.720675,30,47.884475
-8.89699,30,48.244102
2.722258,30,48.587822
1.583274,30,48.931517
1.248435,30,49.291422
1.871848,30,49.635168
1.201435,30,49.994486
7.381609,30,50.338434
2.15906,30,50.682189
1.534978,30,51.025884
1.287081,30,51.38523
0.978316,30,51.744581
-8.721518,30,52.088873
-8.630568,30,52.432568
1.774328,30,52.791945
1.465528,30,53.13564
1.597861,30,53.479395
2.118869,30,53.838744
1.823653,30,54.183001
-9.028294,30,54.54238
1.250112,30,54.886075
1.504277,30,55.230224
1.091578,30,55.589543
1.882146,30,55.948921
-8.279423,30,56.292858
1.655314,30,56.636588
4.59308,30,56.99593
1.718456,30,57.355537
1.134413,30,57.699292
1.254193,30,58.043236
-9.051277,30,58.402616
7.521337,30,58.746318
1.315063,30,59.090312
1.840375,30,59.434006
2.749112,30,59.793363
1.857213,30,60.152936
0.984699,30,60.496661
0.910804,30,60.840416
3.897587,30,61.200005
1.026168,30,61.54376
1.659811,30,61.903077
1.164074,30,62.246996
1.073871,30,62.606344
1.652087,30,62.950069
1.242974,30,63.294055
1.548541,30,63.653397
-7.063741,30,64.012957
0.942304,30,64.369766
1.832499,30,64.713464
0.878884,30,65.072813
1.226455,30,65.416538
1.092438,30,65.775887
1.179214,30,66.120026
4.513246,30,66.46375
1.813518,30,66.823098
1.180619,30,67.16708
1.397233,30,67.526431
1.14255,30,67.885779
2.327479,30,68.229806
1.025851,30,68.589124
1.195849,30,68.932879
1.315569,30,69.292425
1.065001,30,69.636175
2.624096,30,69.995493
9.288111,30,70.339477
1.79239,30,70.698855
1.269089,30,71.058173
0.717742,30,71.417552
-8.618948,30,71.776871
1.541198,30,72.121565
1.672978,30,72.480884
1.717492,30,72.840234
1.289528,30,73.184212
4.540533,30,73.543593
1.222558,30,73.902941
0.885427,30,74.262527
