#{"t_start": 1583975847.9224324, "env_id": "cursorcontrol-v2"}
r,l,t
-167.688272,30,4.890522
-148.87596,30,4.926502
-188.79586,30,4.958487
-147.630662,30,6.417777
-179.155634,30,6.810548
-158.833732,30,7.223339
-127.05585,30,7.605176
-126.004384,30,7.997977
-37.768733,30,8.385749
-67.756106,30,8.75959
-68.227427,30,9.133379
-29.06353,30,9.636118
-16.891583,30,9.996964
1.70111,30,10.370742
-8.40548,30,10.780566
1.725354,30,11.202321
1.022909,30,11.591125
-18.983875,30,11.952941
-8.664469,30,12.31176
1.167795,30,12.684601
-18.199621,30,13.053384
-16.295038,30,13.413232
4.445386,30,13.777018
4.844361,30,14.149858
0.856278,30,14.525666
2.485587,30,14.879488
1.05059,30,15.251271
2.716354,30,15.624112
1.229888,30,15.996922
1.006327,30,16.363712
1.060017,30,16.727552
3.083595,30,17.101362
2.523011,30,17.475142
1.456873,30,17.840987
0.946339,30,18.218772
-13.915984,30,18.599602
1.467797,30,18.964394
1.347285,30,19.33323
2.204098,30,19.702044
2.524059,30,20.077853
3.389038,30,20.454631
298.992638,28,20.791491
-8.794876,30,21.163271
-2.985835,30,21.531087
-9.203427,30,21.888904
2.817649,30,22.265744
1.046687,30,22.633557
-8.967868,30,23.006368
1.147179,30,23.371186
3.46772,30,23.746995
2.659789,30,24.116781
2.909976,30,24.49858
-5.162838,30,24.854432
1.980146,30,25.227217
0.801143,30,25.594057
2.29221,30,25.959872
1.010509,30,26.329659
0.987403,30,26.720486
1.12426,30,27.099265
4.18759,30,27.469075
1.059067,30,27.826926
1.088041,30,28.196711
5.740679,30,28.568527
1.596596,30,28.932333
1.200879,30,29.300178
1.489244,30,29.67397
2.042801,30,30.042775
-1.701334,30,30.406617
-16.478837,30,30.7744
1.706064,30,31.15221
1.718245,30,31.528019
1.529583,30,31.889835
-9.179231,30,32.278668
9.322815,30,32.646483
-8.502381,30,33.016272
5.489859,30,33.380088
2.83553,30,33.744925
5.889879,30,34.115706
-8.356334,30,34.489547
5.01328,30,34.854332
1.53668,30,35.229173
1.393001,30,35.609951
-8.662736,30,35.979793
1.021507,30,36.342608
-8.308532,30,36.707424
4.452118,30,37.077237
4.620652,30,37.451047
0.908,30,37.814831
0.94538,30,38.187644
1.137098,30,38.561483
1.014378,30,38.92127
3.375702,30,39.300079
1.490277,30,39.668923
-9.070348,30,40.038737
1.185537,30,40.397524
-8.502925,30,40.766337
2.058011,30,41.136179
1.378471,30,41.499994
-1.93395,30,41.858783
1.694554,30,42.236591
3.018417,30,42.607402
-8.928701,30,42.975246
0.846295,30,43.334037
1.186535,30,43.699879
-6.586545,30,44.068692
0.815192,30,44.441504
-7.556488,30,44.806287
1.960424,30,45.17713
1.97071,30,45.543944
5.122591,30,45.901741
1.637226,30,46.266579
2.408535,30,46.635392
1.138654,30,47.000206
7.749641,30,47.369987
1.547915,30,47.737832
-7.610433,30,48.113617
0.981568,30,48.476435
9.016942,30,48.848239
11.352815,30,49.256063
1.967378,30,49.65883
-8.928836,30,50.057656
1.375173,30,50.433441
1.58483,30,50.81425
1.094366,30,51.199048
2.420909,30,51.583853
1.306384,30,51.967665
1.197046,30,52.362466
-8.115317,30,52.754266
2.085809,30,53.14306
7.803809,30,53.506908
1.787095,30,53.860729
-4.958805,30,54.235516
0.812289,30,54.605352
1.453197,30,54.971166
3.041086,30,55.330983
2.50001,30,55.698767
1.46387,30,56.071608
0.982757,30,56.430418
1.441096,30,56.79724
-8.963637,30,57.174049
-7.748628,30,57.54686
3.172035,30,57.905678
1.253247,30,58.271492
2.244266,30,58.642305
1.356352,30,59.013117
2.047773,30,59.382929
1.4653,30,59.749714
1.336549,30,60.129551
-3.845818,30,60.495343
0.854208,30,60.856153
4.027033,30,61.223995
3.579651,30,61.592809
1.252675,30,61.957624
1.251543,30,62.328405
1.158779,30,62.698219
1.128739,30,63.07103
1.558655,30,63.430877
10.32406,30,63.793664
1.083392,30,64.165505
1.444205,30,64.545285
1.513491,30,64.904101
11.079054,30,65.272914
3.799416,30,65.642727
2.502731,30,66.018566
2.401508,30,66.380383
1.389079,30,66.750195
0.829756,30,67.121984
1.119657,30,67.503784
2.202335,30,67.860631
1.403508,30,68.230414
-8.862347,30,68.596259
1.601082,30,68.965041
2.842546,30,69.338869
1.115842,30,69.717688
1.546857,30,70.088503
3.419232,30,70.460315
1.077319,30,70.821131
1.169536,30,71.193913
2.501727,30,71.558728
1.008564,30,71.918552
1.005959,30,72.294355
1.793088,30,72.667196
1.143707,30,73.036979
1.310138,30,73.403795
1.799026,30,73.773605
4.941597,30,74.148445
3.184441,30,74.521242
1.379419,30,74.885042
1.110316,30,75.253887
5.407978,30,75.619668
1.764871,30,75.985484
1.414274,30,76.358295
3.551256,30,76.728111
3.250044,30,77.096926
1.28688,30,77.463738
12.281799,30,77.832546
7.008957,30,78.206358
6.290018,30,78.581168
1.246048,30,78.95001
2.985048,30,79.314827
3.736226,30,79.681617
3.914895,30,80.05645
2.793587,30,80.418244
2.93785,30,80.784081
2.096429,30,81.162889
2.42564,30,81.537668
2.0896,30,81.901485
1.318221,30,82.279323
1.435959,30,82.652134
1.77177,30,83.016918
0.833403,30,83.390759
1.996707,30,83.790557
1.464192,30,84.170365
5.994479,30,84.535179
6.780278,30,84.891999
6.096541,30,85.271784
0.884751,30,85.643588
2.613843,30,86.012431
-8.839141,30,86.37022
-8.472341,30,86.736034
1.754412,30,87.109973
9.933325,30,87.484805
2.414632,30,87.847599
1.092292,30,88.222431
-2.936358,30,88.591244
3.165726,30,88.958059
-5.147357,30,89.32885
6.280195,30,89.702659
0.852294,30,90.085487
1.362642,30,90.454277
