#{"t_start": 1583628019.598814, "env_id": "cursorcontrol-v1"}
r,l,t
1.41792,30,5.045111
1.95983,30,5.072125
2.021093,30,5.10011
3.665181,30,6.25842
1.020493,30,6.602252
1.357369,30,6.953053
1.328459,30,7.301853
5.626403,30,7.653653
0.818398,30,8.010447
1.361613,30,8.359247
0.941779,30,8.720015
1.674977,30,9.078836
1.091641,30,9.433603
6.591623,30,9.780434
1.15504,30,10.132233
1.599538,30,10.487998
2.311271,30,10.845825
0.855101,30,11.195624
1.656108,30,11.546423
1.586826,30,11.901221
1.82904,30,12.253025
1.226727,30,12.60982
3.930027,30,12.963615
1.41038,30,13.315413
8.196515,30,13.669209
1.541237,30,14.024005
1.99661,30,14.372807
5.123213,30,14.734599
7.121601,30,15.087399
1.153951,30,15.437197
0.820745,30,15.785997
0.891674,30,16.139796
1.425772,30,16.495592
0.758523,30,16.853357
2.007827,30,17.203162
2.627087,30,17.553985
0.91166,30,17.909753
1.642113,30,18.258583
4.085124,30,18.619347
1.360162,30,18.982169
1.209998,30,19.333967
1.063567,30,19.681738
1.833529,30,20.03654
2.165433,30,20.388363
1.308381,30,20.742161
1.267497,30,21.091961
2.196289,30,21.447735
4.892397,30,21.80652
1.914551,30,22.164347
5.388422,30,22.516146
2.33255,30,22.864946
0.931283,30,23.215745
0.950667,30,23.574541
2.229683,30,23.931336
0.987116,30,24.282106
1.723905,30,24.633934
1.163439,30,24.985703
1.370509,30,25.335503
1.077598,30,25.694295
0.870262,30,26.045101
3.177203,30,26.395895
3.15005,30,26.748724
1.222946,30,27.095498
1.095523,30,27.453291
3.959691,30,27.812092
1.937932,30,28.165883
2.11463,30,28.517712
0.790256,30,28.878505
3.206421,30,29.229304
1.718235,30,29.586071
3.869492,30,29.940897
3.009082,30,30.295698
1.00929,30,30.645464
1.757787,30,30.994295
1.101586,30,31.345095
1.368514,30,31.710855
2.0639,30,32.063655
1.442301,30,32.414455
4.664689,30,32.764281
2.30456,30,33.119078
1.356731,30,33.473875
1.645318,30,33.824674
20.979826,30,34.174474
1.648158,30,34.530272
0.630876,30,34.889066
2.395339,30,35.242833
0.955871,30,35.59566
1.614037,30,35.951428
0.972843,30,36.303256
1.501535,30,36.661051
0.865167,30,37.010826
0.994908,30,37.366647
1.157836,30,37.717447
1.274685,30,38.074213
2.115572,30,38.429039
2.814976,30,38.788803
1.26897,30,39.143631
1.299411,30,39.495429
2.368579,30,39.853224
1.290976,30,40.208021
0.91605,30,40.578809
1.326261,30,40.930607
1.546097,30,41.284406
3.123922,30,41.640202
1.740106,30,41.991001
3.59461,30,42.339801
2.319869,30,42.700596
0.914456,30,43.058391
1.7576,30,43.422182
1.119926,30,43.771981
0.710204,30,44.126779
0.728296,30,44.487572
1.793055,30,44.851364
3.273943,30,45.215156
21.928044,30,45.567925
1.07697,30,45.919754
2.192214,30,46.272552
1.718099,30,46.631316
0.886407,30,46.985113
0.680913,30,47.356244
1.597362,30,47.709043
1.556959,30,48.063809
5.345911,30,48.418607
1.365029,30,48.768437
1.110893,30,49.123234
0.799427,30,49.477999
1.092323,30,49.840823
0.86218,30,50.191593
1.692676,30,50.558383
3.718828,30,50.91418
0.931021,30,51.265009
1.831354,30,51.628776
0.906226,30,51.986566
0.80256,30,52.336395
0.982362,30,52.685165
2.03305,30,53.041991
1.775496,30,53.395788
4.193705,30,53.757581
1.827872,30,54.119345
0.832916,30,54.483167
4.63069,30,54.839962
1.32058,30,55.190731
5.134645,30,55.544559
