#{"t_start": 1583528311.5910327, "env_id": "cursorcontrol-v1"}
r,l,t
-222.208023,30,4.471382
-245.757863,30,4.495232
408.003228,29,4.533124
-238.951385,30,6.253481
-194.835984,30,6.699901
-219.52352,30,7.146917
-252.866727,30,7.602544
-212.547979,30,8.03497
-227.032103,30,8.473216
-63.574556,30,8.900012
-23.871362,30,9.315737
-51.828242,30,9.762501
-257.088344,30,10.180238
-257.757724,30,10.628744
-254.94421,30,11.058601
-246.659441,30,11.479422
-251.533322,30,11.90823
-213.637448,30,12.335946
-123.248804,30,12.769774
-222.017269,30,13.202478
-217.541392,30,13.617814
-214.221449,30,14.044209
-63.999063,30,14.488679
-205.394025,30,14.92872
-167.641351,30,15.360947
-252.317617,30,15.79243
-200.201169,30,16.220319
-190.38772,30,16.667114
-237.05318,30,17.088881
-208.731487,30,17.522352
-132.437233,30,17.950954
-187.153369,30,18.381434
-245.245052,30,18.812642
-254.02842,30,19.237336
-195.817875,30,19.68565
-250.738069,30,20.137239
-172.973927,30,20.565873
-224.848199,30,21.006216
-244.239548,30,21.433207
-244.477238,30,21.867456
-262.970764,30,22.295567
-240.73677,30,22.734381
-255.356368,30,23.161061
-254.532175,30,23.60446
-261.809977,30,24.03528
-209.978783,30,24.476868
-236.950872,30,24.916042
-241.789074,30,25.344885
-259.560442,30,25.769316
-211.540607,30,26.189103
-198.679168,30,26.630419
-265.911474,30,27.071925
-255.64527,30,27.517809
-101.104324,30,27.936632
-214.686529,30,28.364829
-251.110526,30,28.816941
-205.079313,30,29.251042
-260.49556,30,29.6808
-253.481662,30,30.155035
-162.804948,30,30.675068
-139.545428,30,31.19331
-260.106912,30,31.780818
-125.17117,30,32.329874
-181.040298,30,32.827764
-247.553473,30,33.578584
-246.334448,30,34.295611
-233.817286,30,34.84666
538.769316,8,34.964866
-174.644398,30,35.401945
-209.621625,30,35.894827
-236.975772,30,36.501513
536.984103,5,36.636161
-248.984949,30,37.552312
-176.957081,30,38.277434
-132.807899,30,38.974922
-228.579056,30,39.679728
-93.852191,30,40.282633
-121.619812,30,40.708325
576.029105,4,40.763388
-224.089478,30,41.234257
-192.635541,30,41.713332
-248.551423,30,42.14378
-192.499591,30,42.571191
-222.949795,30,43.042418
-226.644203,30,43.492495
-117.124032,30,43.920774
-226.194159,30,44.361024
-236.602614,30,44.828181
-260.312661,30,45.261321
-251.490356,30,45.695036
-212.143712,30,46.120999
-104.529494,30,46.581155
-168.477134,30,47.023536
-238.074325,30,47.469022
-254.386422,30,47.896621
-209.326303,30,48.354909
-119.233234,30,48.813468
-258.509777,30,49.284842
-246.882677,30,49.78251
-239.294295,30,50.282099
-258.055433,30,50.751672
-255.70843,30,51.224653
-231.702317,30,51.656158
-225.185803,30,52.102295
-256.737116,30,52.537795
-261.88862,30,52.980651
-262.547302,30,53.409384
-260.316025,30,53.889822
-123.678225,30,54.331669
-230.582913,30,54.791695
-97.445638,30,55.23107
-186.097276,30,55.690516
-213.451958,30,56.116511
-141.328131,30,56.546035
-252.910218,30,56.99015
-253.890018,30,57.468439
-256.089312,30,57.91505
-205.302472,30,58.349274
-177.091998,30,58.785683
-222.92494,30,59.239255
471.686352,28,59.641056
-232.975617,30,60.088151
-264.049693,30,60.529566
-266.93916,30,60.981304
15.716955,30,61.429146
-197.006027,30,61.862447
-250.552659,30,62.292173
-164.157445,30,62.80583
-209.775707,30,63.26504
-235.155989,30,63.719847
-235.775483,30,64.144001
-252.411962,30,64.607358
514.080421,21,64.923089
-247.80856,30,65.345221
-254.913458,30,65.767623
-254.411787,30,66.234866
-260.185811,30,66.68645
-260.975522,30,67.12799
-188.412902,30,67.586391
52.758614,30,68.065674
-261.205337,30,68.497451
-252.060982,30,68.942375
-233.234026,30,69.37855
-201.815814,30,69.850858
494.40315,19,70.123941
-175.015954,30,70.57358
-250.76874,30,71.002332
-209.844623,30,71.453641
-104.735177,30,71.877324
-233.760702,30,72.30846
-261.107605,30,72.741251
-259.457624,30,73.227075
-250.802606,30,73.859057
-210.476627,30,74.28693
-228.040945,30,74.745264
-148.020246,30,75.20402
584.186005,4,75.268688
530.860413,9,75.402941
-193.029146,30,75.831083
-71.720611,30,76.287666
-71.548466,30,76.719483
-93.6561,30,77.158423
-69.710618,30,77.597507
-31.555017,30,78.047297
-251.430414,30,78.482709
-41.657265,30,78.917868
-250.882934,30,79.356359
-201.137552,30,79.852213
-159.556249,30,80.292642
-121.258813,30,80.734072
39.840125,30,81.177367
-58.696366,30,81.653175
-209.015867,30,82.182632
-110.614902,30,82.62545
-242.101177,30,83.162075
-236.588799,30,83.615901
-250.351852,30,84.049424
-158.173117,30,84.491825
547.204127,24,84.845166
72.194313,30,85.318257
-245.763935,30,85.755529
-86.858194,30,86.168095
-237.517671,30,86.612234
1071.876462,21,86.945263
-112.490748,30,87.391289
-95.701975,30,87.826499
-35.076653,30,88.265892
-68.323162,30,88.794977
-236.60151,30,89.289696
-163.259709,30,89.779355
-94.028798,30,90.242388
-205.867945,30,90.74015
-194.206162,30,91.187753
-195.873893,30,91.699017
-242.116599,30,92.219879
-74.943237,30,92.74441
-158.334117,30,93.175506
-130.830155,30,93.624957
431.168077,24,93.973749
-168.343814,30,94.434217
-225.834108,30,94.865117
-249.835828,30,95.304955
-184.427357,30,95.735101
-214.338836,30,96.192808
-184.549238,30,96.649333
-221.423247,30,97.081869
-211.924468,30,97.524995
-123.822005,30,97.989983
-196.333993,30,98.423202
-217.377348,30,98.90432
-85.512687,30,99.35025
-192.315054,30,99.804438
-206.070443,30,100.23426
557.040116,2,100.261576
-215.534046,30,100.69641
-28.613573,30,101.168244
38.038505,30,101.594782
-237.650176,30,102.029547
-45.418523,30,102.470813
-12.264699,30,102.918389
-230.874402,30,103.344788
-145.653235,30,103.770804
-78.406635,30,104.203392
-100.338033,30,104.659841
-5.990043,30,105.108257
531.839675,21,105.449474
85.236193,30,105.876969
-151.226214,30,106.355605
581.8063,7,106.455647
-52.909854,30,106.892027
570.996641,24,107.232241
-202.945458,30,107.693606
544.167901,20,107.977051
-61.697937,30,108.425962
-123.611102,30,108.878037
-79.739796,30,109.35318
-258.080247,30,109.779387
788.762571,2,109.808678
-94.548732,30,110.248286
-40.399485,30,110.720899
570.756966,14,110.919842
-213.811887,30,111.349684
-30.375313,30,111.78413
-244.940674,30,112.253812
-99.146649,30,112.711704
-243.527216,30,113.12347
571.213002,10,113.271003
-251.002654,30,113.748084
612.957523,22,114.094751
-153.169576,30,114.544434
-152.429925,30,114.973974
-145.981604,30,115.444708
-205.165311,30,115.890092
-211.408289,30,116.321755
-198.042582,30,116.752872
417.806701,22,117.100299
-225.603104,30,117.544482
-24.091896,30,117.973815
-245.631742,30,118.41054
-156.71979,30,118.892486
750.056345,27,119.293879
-209.082659,30,119.720294
-182.810084,30,120.141819
545.084019,1,120.161722
-29.494656,30,120.620716
620.086458,17,120.879854
-234.182337,30,121.314365
-37.609923,30,121.803377
-68.921819,30,122.231666
-206.017445,30,122.667993
445.894756,26,123.054327
-114.032831,30,123.513541
-228.856227,30,123.965225
-185.788876,30,124.391965
-122.537875,30,124.830735
-113.984208,30,125.311085
2225.058644,25,125.687598
-208.852898,30,126.112849
-123.745493,30,126.575234
554.54364,21,126.903228
-74.704311,30,127.34208
-26.160989,30,127.779842
-108.632814,30,128.226799
-41.577084,30,128.687912
-175.000339,30,129.11463
-203.889207,30,129.566837
-108.182453,30,129.997808
1.076946,30,130.433626
499.845518,20,130.73573
-64.986618,30,131.16266
-9.473516,30,131.597653
31.958524,30,132.066254
2307.192333,27,132.478314
-217.005063,30,132.90834
-178.720767,30,133.343492
-167.565547,30,133.808695
-33.904733,30,134.273042
23.717818,30,134.726145
557.163863,17,134.980415
33.295717,30,135.45041
47.981583,30,135.873732
-34.427702,30,136.310912
-26.583641,30,136.762728
506.975272,23,137.114666
-50.674575,30,137.564071
-186.38731,30,137.996829
495.829263,19,138.288771
510.731742,19,138.592006
-204.867607,30,139.021472
-236.42619,30,139.463231
-185.496982,30,139.921812
-219.341873,30,140.408979
476.282192,15,140.619586
-242.833323,30,141.047181
-230.696558,30,141.466971
-241.331097,30,141.929236
-201.043643,30,142.372064
82.125673,30,142.830637
-161.94053,30,143.303321
543.614954,22,143.683852
-234.717742,30,144.145946
-96.585396,30,144.609609
477.539979,12,144.803682
-37.647529,30,145.298568
-62.524159,30,145.757452
588.980853,7,145.858984
684.30697,28,146.258855
-26.856054,30,146.719736
6.820081,30,147.143775
-119.774272,30,147.587183
24.055016,30,148.022782
629.826184,24,148.426507
255.204154,30,148.862089
-17.469306,30,149.297308
569.528474,11,149.463355
-10.96719,30,149.92652
61.808377,30,150.35351
-17.817662,30,150.780953
582.533221,12,150.945232
57.651512,30,151.428557
846.26205,12,151.599123
550.96364,22,151.924291
-244.496937,30,152.378655
-233.278895,30,152.851345
13.392696,30,153.287189
-65.20524,30,153.722849
-246.910331,30,154.141851
-53.547285,30,154.607053
-134.193726,30,155.047473
543.250487,26,155.426572
510.796122,8,155.539098
0.498291,30,155.976723
-244.482166,30,156.414067
-194.26093,30,157.619285
-33.464373,30,158.053171
-121.234278,30,158.521353
-204.686763,30,158.963357
501.048064,29,159.402442
-194.741421,30,159.834587
-229.460707,30,160.290637
-198.230344,30,160.723837
-202.944757,30,161.158889
493.658548,23,161.505943
39.847247,30,161.969122
-169.588353,30,162.401584
-180.348431,30,163.009075
-210.966943,30,163.455164
549.06337,20,163.762023
-257.412009,30,164.197725
-241.605499,30,164.617187
518.80118,16,164.871771
-124.234269,30,165.356215
-216.294812,30,165.818712
543.911457,24,166.173064
-246.256669,30,166.619499
-263.918219,30,167.079708
-116.427527,30,167.515996
-256.390901,30,167.958769
-188.575256,30,168.421222
-135.392246,30,168.879903
-246.153798,30,169.32413
-135.858972,30,169.76012
-199.487979,30,170.195211
-13.271289,30,170.665228
-211.480763,30,171.102929
-185.929053,30,171.537253
-184.760825,30,171.986062
-75.984533,30,172.472858
-169.943031,30,172.913174
-65.27237,30,173.348657
-71.092751,30,173.771578
611.51478,26,174.181757
387.800699,28,174.598991
13.694609,30,175.032306
-247.816672,30,175.478519
1.502893,30,175.95384
510.992983,18,176.228834
587.234242,23,176.571502
15.475565,30,177.0038
-15.685044,30,177.46994
-221.466588,30,177.894661
-252.291337,30,178.352892
-112.855666,30,178.790685
-261.98951,30,179.278795
-248.944889,30,179.718387
-11.30516,30,180.137117
83.34302,30,180.596617
-122.779247,30,181.061775
-105.132966,30,181.500906
-104.567908,30,181.947861
540.361671,19,182.237452
-245.337044,30,182.703554
-175.811929,30,183.147456
-172.582663,30,183.586998
-76.148713,30,184.034518
29.817016,30,184.514766
533.759318,25,184.882528
-17.908058,30,185.310656
-118.40264,30,185.742866
-112.849914,30,186.232327
-213.641549,30,186.700878
-99.7163,30,187.133041
-178.348413,30,187.568038
-265.687654,30,188.027858
577.981537,1,188.042876
-205.612429,30,188.488981
-180.291254,30,188.945372
-147.58365,30,189.437307
-181.748666,30,189.929738
-82.782539,30,190.425454
-232.790959,30,190.926137
-243.232812,30,191.382198
-88.37023,30,191.811481
-221.991294,30,192.279258
-197.877616,30,192.731267
-252.470609,30,193.21395
-265.974806,30,193.657034
-173.412268,30,194.096536
-206.536468,30,194.54031
