#{"t_start": 1583541711.0581477, "env_id": "cursorcontrol-v1"}
r,l,t
2.8008,30,1.412072
2.611391,30,1.4204
1.046932,30,1.428676
1.412548,30,1.982625
0.825438,30,2.085316
5.674829,30,2.1894
1.476911,30,2.306321
2.330185,30,2.43557
0.866659,30,2.543728
3.112773,30,2.650376
1.487188,30,2.760654
1.09051,30,2.883958
1.592967,30,2.986194
1.722835,30,3.087207
1.32827,30,3.189458
2.210987,30,3.315862
0.980583,30,3.419968
0.931665,30,3.527105
1.008962,30,3.628659
3.605192,30,3.754187
1.028874,30,3.862003
2.685231,30,3.969088
1.829431,30,4.071268
2.862872,30,4.202695
2.071358,30,4.306725
0.909603,30,4.414599
2.128623,30,4.522991
6.644086,30,4.647666
0.886998,30,4.767385
1.00772,30,4.874935
1.840324,30,4.980947
1.089174,30,5.105027
2.258492,30,5.212812
0.929472,30,5.31772
1.046837,30,5.429449
1.181124,30,5.554096
1.450009,30,5.658854
1.205505,30,5.762513
2.760296,30,5.872038
1.167355,30,5.99913
1.45137,30,6.109613
1.080152,30,6.219287
1.267099,30,6.332487
1.654614,30,6.472188
2.939045,30,6.583366
1.650413,30,6.691009
4.376423,30,6.798264
0.847579,30,6.950815
1.250909,30,7.085721
0.869329,30,7.222844
0.976218,30,7.361413
1.038601,30,7.488436
4.823996,30,7.597731
1.985005,30,7.702367
1.131143,30,7.810933
0.896815,30,7.933843
2.006505,30,8.040071
0.773702,30,8.147071
1.105657,30,8.254064
1.222297,30,8.411255
3.955398,30,8.550418
1.74086,30,8.687091
2.299742,30,8.824039
1.08548,30,8.960117
1.626849,30,9.098589
2.158459,30,9.236398
1.091628,30,9.380306
1.870655,30,9.540277
1.69845,30,9.679276
0.843413,30,9.816407
1.8401,30,9.955658
1.118597,30,10.114061
1.634885,30,10.255473
1.848986,30,10.397045
2.268367,30,10.504563
2.714159,30,10.626328
5.694876,30,10.734546
2.362436,30,10.846207
2.158652,30,10.94851
2.000942,30,11.074811
0.803717,30,11.178811
1.785268,30,11.286676
1.163449,30,11.400786
3.671569,30,11.526221
0.78797,30,11.635777
0.762519,30,11.74328
3.486609,30,11.852443
1.029063,30,11.987825
1.889358,30,12.098201
1.901285,30,12.205782
1.03632,30,12.318078
2.876005,30,12.448753
1.282729,30,12.555103
1.101171,30,12.660436
2.733158,30,12.769049
1.430163,30,12.898011
1.205551,30,13.004513
1.006811,30,13.112668
5.633024,30,13.23102
1.234859,30,13.357833
1.091088,30,13.465952
2.201783,30,13.585538
1.198343,30,13.691916
2.261748,30,13.814548
6.817127,30,13.940942
1.467992,30,14.072062
1.818993,30,14.203755
0.762029,30,14.356688
1.053383,30,14.487736
0.878841,30,14.617974
3.058416,30,14.746307
1.816275,30,14.920812
0.9193,30,15.088516
0.964447,30,15.254437
0.923325,30,15.419583
1.176652,30,15.578561
2.31109,30,15.714963
0.757794,30,15.848163
0.863897,30,15.979756
2.373351,30,16.136909
1.984012,30,16.274146
0.850924,30,16.411312
1.367916,30,16.544407
5.49303,30,16.69295
1.344691,30,16.828713
3.97243,30,16.972054
3.019034,30,17.117208
2.494036,30,17.279833
1.485937,30,17.422128
1.385488,30,17.560294
0.967497,30,17.694579
1.14782,30,17.870106
1.895017,30,18.020596
1.049719,30,18.158055
0.723671,30,18.285767
1.28426,30,18.434879
0.790718,30,18.563655
1.479656,30,18.699488
1.819126,30,18.838125
2.299376,30,18.99786
2.577492,30,19.143139
2.499122,30,19.290995
1.840741,30,19.435219
0.987193,30,19.602155
1.436058,30,19.745536
3.020221,30,19.884985
0.987311,30,20.017762
0.998567,30,20.177175
2.028145,30,20.31309
2.208322,30,20.45836
1.450873,30,20.594325
0.962835,30,20.768543
0.905248,30,20.933418
1.978092,30,21.093768
1.099953,30,21.223851
1.524043,30,21.389088
2.432814,30,21.524063
1.272595,30,21.653608
0.89728,30,21.791591
1.413541,30,21.936824
1.088624,30,22.044056
1.1123,30,22.149599
1.996587,30,22.259499
2.467347,30,22.386517
1.321634,30,22.493847
1.459141,30,22.600567
0.881233,30,22.707859
1.795044,30,22.833964
