#{"t_start": 1584382321.1953025, "env_id": "cursorcontrol-v2"}
r,l,t
-1097.013425,30,5.248996
-1798.792594,30,5.271996
-1098.517056,30,5.293997
-1196.787243,30,8.12835
-799.331918,30,8.538389
-1798.829715,30,8.955389
-1598.599779,30,9.382352
-999.306546,30,9.794389
-999.013069,30,10.212389
-399.119133,30,10.62339
0.997369,30,11.039389
-98.908408,30,11.460352
3.870704,30,11.882388
-94.264421,30,12.30839
0.820842,30,12.724352
-398.606765,30,13.143347
1.914505,30,13.560389
2.31694,30,13.984352
0.527937,30,14.40039
0.855382,30,14.820389
0.883369,30,15.23839
2.226634,30,15.658347
0.888609,30,16.087364
0.815159,30,16.508389
0.883688,30,16.921389
1.65058,30,17.339389
3.210287,30,17.753368
0.673883,30,18.229389
1.370959,30,18.66139
1.030668,30,19.083389
0.953228,30,19.498389
0.726667,30,19.917351
1.807542,30,20.338362
0.919442,30,20.747352
1.549367,30,21.162391
2.691465,30,21.577365
1.147013,30,21.99539
3.005857,30,22.413352
0.837601,30,22.838365
1.225746,30,23.27239
0.899966,30,23.685369
1.729343,30,24.101351
0.939908,30,24.514389
2.12584,30,24.932389
1.466505,30,25.348388
1.387567,30,25.76035
1.284464,30,26.199389
2.045338,30,26.630389
1.247651,30,27.044351
1.775276,30,27.45839
6.39971,30,27.87735
1.46369,30,28.30635
1.110938,30,28.718389
1.014485,30,29.134389
3.092784,30,29.545388
4.822153,30,29.966346
1.52326,30,30.390351
1.389438,30,30.80035
1.421709,30,31.211359
5.796482,30,31.62639
2.468794,30,32.04339
0.796124,30,32.458352
3.020504,30,32.876389
3.480337,30,33.301389
4.390267,30,33.71839
1.3107,30,34.133389
2.644206,30,34.544389
1.659562,30,34.962357
1.077588,30,35.377389
4.268269,30,35.788352
1.218637,30,36.21939
8.510735,30,36.638351
1.753119,30,37.07739
1.353957,30,37.537368
1.0938,30,38.010369
0.821464,30,38.48137
3.130136,30,38.940388
2.062583,30,39.364389
0.884856,30,39.780352
1.436207,30,40.199352
2.118744,30,40.614359
1.356167,30,41.041389
1.44803,30,41.457389
1.554006,30,41.877389
1.405126,30,42.296348
4.025247,30,42.714388
0.644971,30,43.125388
0.78822,30,43.53935
1.468208,30,43.959361
1.191001,30,44.381351
1.991138,30,44.794389
1.486899,30,45.211388
1.824857,30,45.636389
0.890417,30,46.058365
4.562104,30,46.480389
6.430832,30,46.898389
0.769659,30,47.322389
1.282038,30,47.750389
0.98174,30,48.17539
1.040913,30,48.591393
0.862428,30,49.008389
1.136618,30,49.421389
1.261122,30,49.830389
1.250372,30,50.253352
2.377955,30,50.669369
1.199577,30,51.087389
1.332966,30,51.50039
0.899181,30,51.919369
0.988453,30,52.34639
1.497106,30,52.760389
2.210966,30,53.17435
0.855613,30,53.590349
7.855923,30,54.034352
3.472148,30,54.473352
1.876517,30,54.886389
1.520886,30,55.305389
3.665275,30,55.723359
1.110745,30,56.151389
1.29841,30,56.56439
0.982664,30,56.975389
1.36723,30,57.386388
0.792571,30,57.801389
5.150385,30,58.235352
1.185249,30,58.657351
10.539444,30,59.082352
1.033089,30,59.494389
5.166751,30,59.909352
2.370345,30,60.329352
1.114629,30,60.740393
2.633094,30,61.15339
1.462655,30,61.564389
1.177704,30,61.983366
1.261618,30,62.400351
3.864801,30,62.814363
1.439398,30,63.245352
0.937457,30,63.657391
3.345054,30,64.071352
1.985043,30,64.482368
1.028353,30,64.899389
1.146328,30,65.327389
2.168933,30,65.74439
1.103719,30,66.158389
3.816502,30,66.568389
0.981953,30,66.984351
4.17634,30,67.393389
1.734765,30,67.80936
6.308882,30,68.238359
0.699149,30,68.653388
0.75987,30,69.072389
1.231763,30,69.481352
1.830509,30,69.892389
1.881582,30,70.320351
1.464556,30,70.731351
1.083613,30,71.150389
1.173245,30,71.568352
4.162341,30,72.002391
0.77725,30,72.42039
1.462516,30,72.834389
3.626186,30,73.24735
3.464109,30,73.658389
1.165554,30,74.117389
0.842241,30,74.541368
1.122553,30,74.955389
0.790357,30,75.368388
2.876504,30,75.782104
1.877267,30,76.197104
1.622889,30,76.699062
8.343607,30,77.228104
1.732185,30,77.742105
0.741762,30,78.214104
1.188191,30,78.686066
1.255657,30,79.180084
0.997928,30,79.652104
1.840207,30,80.120083
1.103214,30,80.592065
1.247108,30,81.021104
0.81882,30,81.441103
3.768374,30,81.857104
0.814423,30,82.271066
0.965433,30,82.694106
2.133418,30,83.128103
0.781125,30,83.538066
1.950957,30,83.953104
6.828142,30,84.370106
0.933993,30,84.782074
1.305412,30,85.245104
9.647556,30,85.694067
4.17479,30,86.155074
1.555052,30,86.622076
0.833986,30,87.085068
0.902666,30,87.576083
2.539431,30,88.109061
3.277444,30,88.576066
0.933928,30,89.006104
1.669224,30,89.431103
1.174936,30,89.855103
2.270148,30,90.284103
1.175177,30,90.709107
2.846741,30,91.133066
1.133219,30,91.548084
1.039588,30,91.974067
1.25972,30,92.394064
1.430485,30,92.811066
1.354943,30,93.226103
0.990749,30,93.639104
1.156971,30,94.052105
0.605272,30,94.463073
1.196487,30,94.883107
2.749895,30,95.306077
1.974734,30,95.723103
1.320119,30,96.143105
2.192481,30,96.560104
1.01817,30,96.982064
5.575992,30,97.401103
4.16804,30,97.819065
9.567646,30,98.241104
2.054753,30,98.657104
4.843281,30,99.074103
0.831704,30,99.482104
1.081596,30,99.908066
3.156853,30,100.336103
1.407344,30,100.754067
1.258954,30,101.169103
1.249779,30,101.586104
1.347878,30,102.009062
1.710756,30,102.428103
8.864947,30,102.855103
1.291407,30,103.272104
1.667124,30,103.68907
1.365284,30,104.117104
1.351614,30,104.531065
7.567416,30,104.948064
1.217838,30,105.372065
1.624183,30,105.798103
3.077335,30,106.229104
0.739331,30,106.647064
3.82756,30,107.066104
1.464726,30,107.477103
0.842499,30,107.900066
