#{"t_start": 1584396960.244341, "env_id": "cursorcontrol-v2"}
r,l,t
-1698.904543,30,4.591994
-898.637451,30,4.608019
-998.689609,30,4.625017
-1898.34279,30,6.003002
-1098.817515,30,6.414041
-1398.422776,30,6.829003
-695.127123,30,7.24104
-1096.569241,30,7.653041
-498.855909,30,8.081016
-298.771353,30,8.502043
-698.039753,30,8.930003
-98.994942,30,9.348014
-298.289648,30,9.766013
-98.879003,30,10.191021
-197.984996,30,10.60704
1.234306,30,11.025004
-198.187382,30,11.440041
2.0001,30,11.85804
-98.539051,30,12.280041
2.467748,30,12.695041
1.253673,30,13.110041
3.108878,30,13.540401
1.14182,30,13.964439
0.859415,30,14.383408
1.655258,30,14.804438
2.095493,30,15.218438
1.123833,30,15.634438
1.296617,30,16.058438
2.670363,30,16.480439
0.841095,30,16.89641
14.244669,30,17.311401
0.906827,30,17.732399
2.549403,30,18.156439
5.543976,30,18.565401
1.108377,30,19.018441
1.23866,30,19.441439
1.864061,30,19.861438
2.617736,30,20.283411
1.532807,30,20.696438
2.201755,30,21.109439
0.798992,30,21.521438
3.634202,30,21.953395
1.118859,30,22.371439
1.002893,30,22.792438
6.561095,30,23.202401
3.143599,30,23.615438
1.895375,30,24.029438
1.238273,30,24.4504
1.474931,30,24.869438
1.92331,30,25.290438
1.755734,30,25.704401
1.266127,30,26.119438
12.988461,30,26.529437
1.254999,30,26.954438
1.06303,30,27.372401
1.239253,30,27.796438
1.893627,30,28.218438
2.184851,30,28.633438
1.045215,30,29.054401
0.769551,30,29.4654
1.795754,30,29.884415
2.010469,30,30.293418
10.123352,30,30.721439
1.274561,30,31.149437
1.323497,30,31.568438
1.049588,30,31.987437
2.873332,30,32.402401
2.718163,30,32.822401
1.366434,30,33.242438
1.358887,30,33.655418
4.151938,30,34.066438
11.915689,30,34.478414
1.751612,30,34.898412
2.203414,30,35.3194
1.000643,30,35.728438
1.030517,30,36.141438
1.953438,30,36.552439
0.913564,30,36.976438
2.21738,30,37.394401
1.940577,30,37.819399
3.876681,30,38.229438
1.880876,30,38.640439
1.280531,30,39.066438
1.779173,30,39.485437
2.797429,30,39.901404
1.793992,30,40.312438
1.089458,30,40.731438
