#{"t_start": 1584049575.7927716, "env_id": "cursorcontrol-v2"}
r,l,t
-12.965781,30,5.51907
-15.448703,30,5.547051
-13.489934,30,5.576035
-12.813313,30,7.203865
-15.905493,30,7.584646
989.285788,30,7.964428
-8.374261,30,8.357247
-7.850897,30,8.740057
-12.728948,30,9.112244
-13.694988,30,9.525285
-13.022041,30,10.061975
-12.715409,30,10.57124
-12.221106,30,11.077957
-16.107437,30,11.521194
-13.257261,30,12.022134
-8.817967,30,12.467942
-9.481719,30,12.837701
-16.612459,30,13.220577
-8.63516,30,13.602405
-14.066556,30,13.97119
-11.629115,30,14.465803
-6.446233,30,14.865035
1001.004861,18,15.101898
-4.86214,30,15.482178
-8.057917,30,15.858961
-13.009475,30,16.242726
-0.45507,30,16.624449
-3.594253,30,16.998235
-8.108097,30,17.375399
-15.637548,30,17.748211
-4.184793,30,18.14351
-6.537095,30,18.516295
-11.191191,30,18.888097
-3.514492,30,19.266089
-0.788562,30,19.650173
-9.219805,30,20.039329
-6.284036,30,20.412446
-6.786957,30,20.790257
-8.33526,30,21.162529
-7.467064,30,21.549599
-4.34976,30,21.917783
-7.412766,30,22.296566
1000.774789,4,22.346598
998.461197,29,22.747377
-6.576637,30,23.141154
1001.183381,2,23.16514
-14.528522,30,23.555914
-11.272813,30,23.935242
-18.893798,30,24.312254
-26.382564,30,24.689057
-22.460558,30,25.068034
985.887335,23,25.370314
996.591742,6,25.446238
-22.89924,30,25.820043
-20.87584,30,26.202315
-23.521109,30,26.587216
-26.832954,30,26.969042
-26.285101,30,27.346825
-18.146614,30,27.724777
-22.463226,30,28.103438
1001.394978,27,28.44556
-1.575731,30,28.845515
-8.464143,30,29.221346
-10.339507,30,29.600145
-23.587712,30,29.972385
-18.688093,30,30.350693
993.540325,28,30.708526
-5.975589,30,31.08633
-13.462367,30,31.458665
-9.903716,30,31.828085
-17.160382,30,32.202922
-5.833295,30,32.599835
-17.454293,30,32.972578
-15.616652,30,33.357386
-9.035214,30,33.729173
-9.642894,30,34.111952
-11.786623,30,34.491735
-10.711047,30,34.867271
-16.841595,30,35.243448
-7.29272,30,35.6247
-8.90509,30,35.997554
-10.198902,30,36.407346
-9.888395,30,36.781598
-14.325118,30,37.157549
-6.621623,30,37.546643
-15.021684,30,37.918031
-10.29232,30,38.304814
-3.11169,30,38.685553
-10.999289,30,39.077319
-9.294801,30,39.449589
-9.080628,30,39.824623
-8.435975,30,40.199452
-11.937192,30,40.580507
-5.583242,30,40.952404
-9.178521,30,41.333687
-11.942638,30,41.710845
-10.764087,30,42.088709
-11.868839,30,42.470537
-5.082903,30,42.841662
-9.161246,30,43.222872
-6.382172,30,43.600815
-1.667413,30,43.986593
-9.272165,30,44.380722
-9.959552,30,44.765613
-6.226359,30,45.180341
-8.852943,30,45.69462
-9.602336,30,46.181649
-3.984118,30,46.617591
997.951679,12,46.763581
-9.439108,30,47.132788
-9.60243,30,47.56355
997.097835,12,47.742446
-12.84399,30,48.166204
-9.407663,30,48.549568
-12.185631,30,48.953809
-11.291804,30,49.352267
-13.833183,30,49.747005
1000.153276,2,49.774983
-8.55015,30,50.167126
-10.865714,30,50.544036
-11.85735,30,50.916853
-8.139864,30,51.299816
-9.862119,30,51.712957
-13.036677,30,52.096833
-9.29736,30,52.474651
992.32449,29,52.831639
-2.273528,30,53.251018
-8.236498,30,53.709817
-8.754548,30,54.11954
-11.084349,30,54.535211
-10.777472,30,54.935146
-8.115764,30,55.337185
-11.327987,30,55.734977
-4.584466,30,56.110111
-9.522633,30,56.491012
-1.800115,30,56.863841
-27.245366,30,57.239657
-12.943147,30,57.641394
-22.82735,30,58.01621
-6.126497,30,58.384966
-12.07516,30,58.74679
-6.345579,30,59.104553
-15.650006,30,59.465353
-14.316645,30,59.82417
-10.35781,30,60.174937
-10.936122,30,60.540759
1000.005378,8,60.639704
991.651509,28,60.981506
-10.21265,30,61.35626
-6.542103,30,61.714083
-16.260085,30,62.069853
-7.015004,30,62.43167
-26.275753,30,62.792463
-6.936913,30,63.165249
-17.129889,30,63.516047
-14.278392,30,63.871842
-4.078861,30,64.250594
996.222589,13,64.422526
996.895564,11,64.569412
994.695094,19,64.807306
-8.415146,30,65.160101
-13.955856,30,65.509873
-16.515883,30,65.864673
997.413838,15,66.045561
992.716177,12,66.186511
-12.038893,30,66.542274
993.687654,18,66.754154
-23.302214,30,67.109949
-12.354951,30,67.470773
-16.369426,30,67.822571
-9.312602,30,68.176337
-9.525542,30,68.532131
1001.0,1,68.546125
993.738293,26,68.856975
-13.745285,30,69.220743
-19.306146,30,69.59452
-9.269827,30,69.970304
-15.752721,30,70.364109
-23.430378,30,70.728876
-21.271129,30,71.113662
-14.310312,30,71.489461
-10.42542,30,71.864245
-0.088405,30,72.24103
-9.46341,30,72.619784
-13.645625,30,72.968611
-24.108538,30,73.321408
-2.572285,30,73.674205
-7.281473,30,74.03
-10.948974,30,74.384766
-9.421838,30,74.74159
-6.505282,30,75.090391
998.629206,12,75.234277
0.677347,30,75.594077
-9.168385,30,75.941876
-23.035227,30,76.295667
