#{"t_start": 1583975603.1499, "env_id": "cursorcontrol-v2"}
r,l,t
-136.621962,30,4.414784
-119.14866,30,4.434751
-138.924406,30,4.454764
-138.819717,30,5.444242
-108.97764,30,5.794094
-148.499947,30,6.150883
-119.174526,30,6.497737
-76.287932,30,6.850559
-98.888487,30,7.199353
-38.958735,30,7.547176
-8.027666,30,7.903001
-58.67907,30,8.260844
-28.900681,30,8.610637
2.101157,30,8.957492
1.415056,30,9.305314
-8.663437,30,9.657112
2.441193,30,10.014954
-9.010712,30,10.368775
-6.841722,30,10.722596
2.792749,30,11.073394
1.583227,30,11.423241
7.568655,30,11.769035
0.937694,30,12.127854
6.182239,30,12.480705
-18.872514,30,12.833526
1.986305,30,13.192317
2.575885,30,13.543136
-8.967622,30,13.899987
1.26123,30,14.266799
1.941196,30,14.617623
-18.582442,30,14.969443
1.425859,30,15.323264
4.335668,30,15.672087
1.573589,30,16.017885
2.319329,30,16.369704
-8.150046,30,16.722525
2.57844,30,17.080344
1.916902,30,17.433165
1.31462,30,17.787015
5.643364,30,18.144833
-8.046503,30,18.492657
2.483268,30,18.846479
1.125676,30,19.212263
2.159901,30,19.566113
1.611121,30,19.921932
1.104449,30,20.270756
-7.486604,30,20.622577
1.612889,30,20.984364
1.184884,30,21.34721
1.462359,30,21.695035
-6.489962,30,22.045856
1.116759,30,22.39765
1.249327,30,22.744502
1.361291,30,23.10332
-8.750279,30,23.462116
-18.66933,30,23.811939
1.376558,30,24.162759
1.133144,30,24.525599
2.404516,30,24.883386
1.125291,30,25.245204
-8.610946,30,25.595057
-19.137364,30,25.948878
6.145289,30,26.294675
1.061041,30,26.644528
1.502323,30,26.999322
1.084403,30,27.351166
0.877438,30,27.704988
1.086037,30,28.057808
1.587181,30,28.4086
0.865254,30,28.758454
1.737193,30,29.115272
2.514551,30,29.467094
0.927512,30,29.817899
2.812616,30,30.164741
3.986596,30,30.516562
1.47537,30,30.868353
2.843924,30,31.221207
1.299389,30,31.566031
1.217228,30,31.921852
-8.63484,30,32.277642
2.503361,30,32.627494
-8.937143,30,32.982288
1.165108,30,33.330138
-8.819129,30,33.683931
1.07139,30,34.035756
1.896981,30,34.387599
-8.007861,30,34.738422
1.265746,30,35.098239
0.991047,30,35.446064
-8.595007,30,35.794856
2.297507,30,36.145709
0.760877,30,36.494501
1.203457,30,36.849322
1.228809,30,37.223131
1.455818,30,37.575984
-8.935509,30,37.932772
1.116783,30,38.283596
-8.224314,30,38.631418
0.989645,30,38.988239
1.432724,30,39.33909
-8.864611,30,39.686914
1.286518,30,40.043708
-2.624393,30,40.405526
-6.283017,30,40.757373
1.057208,30,41.109164
2.62398,30,41.458015
1.331695,30,41.808809
1.548299,30,42.172654
1.49254,30,42.524475
1.422169,30,42.879266
1.619389,30,43.232117
-8.201002,30,43.583909
1.206918,30,43.942732
1.979819,30,44.298565
-6.45243,30,44.647368
2.410147,30,45.000221
-3.539865,30,45.348044
-8.659935,30,45.700843
1.851596,30,46.08364
2.527815,30,46.464449
1.058084,30,46.845256
1.572563,30,47.214069
1.886354,30,47.580912
3.190048,30,47.95869
5.769139,30,48.364516
0.868238,30,48.719336
1.438526,30,49.069159
0.690171,30,49.420979
0.870722,30,49.769773
0.993154,30,50.127621
3.448684,30,50.473446
-18.955386,30,50.822269
2.797032,30,51.169066
1.239797,30,51.514918
2.226724,30,51.864711
2.022522,30,52.216533
2.38362,30,52.566386
0.820844,30,52.926178
1.023361,30,53.282991
0.882277,30,53.635844
-8.430079,30,53.989664
1.553308,30,54.340486
1.965372,30,54.689277
1.499674,30,55.062095
5.775182,30,55.415941
2.307248,30,55.766763
1.581798,30,56.119584
1.487943,30,56.471406
1.229802,30,56.822227
1.339906,30,57.179048
3.298362,30,57.52687
4.10629,30,57.877692
1.838088,30,58.228515
0.73616,30,58.575339
5.406125,30,58.932158
8.01802,30,59.289977
1.528247,30,59.638803
1.784065,30,59.987623
1.348365,30,60.336446
2.786241,30,60.686238
1.310905,30,61.043058
1.357049,30,61.391911
-8.764632,30,61.761725
2.002886,30,62.139508
5.126129,30,62.495353
1.101201,30,62.848174
3.866696,30,63.209966
3.532322,30,63.560781
-18.814492,30,63.910605
-3.081495,30,64.258459
1.520591,30,64.608258
-7.06507,30,64.964101
1.257474,30,65.32189
1.156495,30,65.667745
2.815931,30,66.016568
1.209959,30,66.367372
-9.128935,30,66.716188
1.408231,30,67.069033
2.039413,30,67.420855
1.39735,30,67.770678
1.726046,30,68.130473
0.825715,30,68.494279
1.555399,30,68.852107
2.634371,30,69.21991
3.243064,30,69.586725
1.630276,30,69.938579
0.996314,30,70.288373
1.602892,30,70.636225
1.955506,30,70.995021
1.569904,30,71.349864
1.263914,30,71.698687
