#{"t_start": 1583978763.9921541, "env_id": "cursorcontrol-v2"}
r,l,t
153.583952,23,4.207686
-167.043527,30,4.222656
-138.770959,30,4.236651
-138.48505,30,5.580948
-127.530762,30,5.929758
-129.265619,30,6.29153
-118.95155,30,6.641368
-127.44166,30,6.994176
-138.512248,30,7.348982
-118.678616,30,7.698791
-58.775548,30,8.050572
-118.751214,30,8.407405
-64.946448,30,8.759211
-9.106407,30,9.112017
-17.755922,30,9.466792
-18.313427,30,9.817632
-29.042855,30,10.170409
3.650035,30,10.51822
2.732892,30,10.868029
2.713642,30,11.235856
1.83979,30,11.610895
-28.687458,30,11.959705
1.248677,30,12.31248
-8.033889,30,12.665287
-7.508853,30,13.015097
-7.150361,30,13.385924
-8.402482,30,13.738702
1.61398,30,14.099535
1.580064,30,14.453341
-6.296044,30,14.801124
-9.122315,30,15.15596
2.518269,30,15.511734
-8.274576,30,15.861572
-8.634746,30,16.21738
1.340165,30,16.567187
-18.075352,30,16.919993
-8.497221,30,17.281766
-6.955875,30,17.629605
-8.648725,30,17.978414
8.117461,30,18.332192
2.59804,30,18.683029
1.47239,30,19.028818
-8.952069,30,19.400608
0.899533,30,19.752445
0.929114,30,20.103223
3.83019,30,20.448035
1.251499,30,20.799842
1.387855,30,21.155652
1.354496,30,21.509459
-1.742575,30,21.858263
-6.226753,30,22.217097
1.024459,30,22.572872
2.074445,30,22.923711
1.069067,30,23.273491
-9.039918,30,23.624299
1.610714,30,23.976136
4.937549,30,24.337938
1.017744,30,24.684748
1.164858,30,25.032558
4.420325,30,25.389363
-7.054055,30,25.738172
-9.000642,30,26.086956
1.691928,30,26.434761
-9.123729,30,26.7846
5.109145,30,27.141405
1.498907,30,27.496182
5.251327,30,27.844991
2.122578,30,28.200797
-8.296419,30,28.550605
2.1784,30,28.89943
1.417366,30,29.263245
1.26554,30,29.617023
2.017559,30,29.965861
-8.724772,30,30.31667
0.774527,30,30.665479
1.488482,30,31.020285
1.646976,30,31.372094
0.99982,30,31.720902
1.15444,30,32.076677
1.092263,30,32.444507
1.978517,30,32.793316
2.19628,30,33.147123
-8.908005,30,33.496902
10.099388,30,33.84774
8.521737,30,34.209511
2.783473,30,34.566347
1.958909,30,34.918154
1.460584,30,35.272931
4.587057,30,35.623769
4.615399,30,35.969583
1.426143,30,36.337382
1.419013,30,36.689157
1.361883,30,37.040964
1.14967,30,37.3958
0.754326,30,37.745609
2.767358,30,38.101414
1.714216,30,38.452222
1.049867,30,38.80403
1.509456,30,39.161804
2.090145,30,39.520639
1.312324,30,39.870418
6.264668,30,40.224225
1.755638,30,40.572063
5.019508,30,40.926841
1.381216,30,41.291641
3.103355,30,41.646477
1.441615,30,41.994287
5.712305,30,42.349093
