#{"t_start": 1583618935.5647097, "env_id": "cursorcontrol-v1"}
r,l,t
0.965828,30,8.708316
1.226416,30,8.735348
1.742212,30,8.764245
2.256795,30,12.715618
5.554639,30,13.134186
1.36207,30,13.534078
2.0311,30,13.932377
1.473973,30,14.417909
0.981205,30,14.835282
1.004157,30,15.238501
1.145411,30,15.69953
1.826626,30,16.129923
1.755323,30,16.561757
0.720758,30,16.971417
1.055706,30,17.372102
0.8918,30,17.834732
6.451074,30,18.231516
2.061241,30,18.630255
1.036008,30,19.046353
1.601932,30,19.517576
1.701752,30,19.940044
1.328123,30,20.373241
2.248038,30,20.777636
3.284425,30,21.210449
1.258952,30,21.628397
2.048615,30,22.065145
2.85191,30,22.498907
1.183355,30,22.927746
0.991768,30,23.338962
1.634813,30,23.775833
1.245693,30,24.179792
2.626628,30,24.626097
3.14418,30,25.035289
1.387674,30,25.441508
1.398419,30,25.863798
1.296469,30,26.321275
1.933413,30,26.731143
1.195089,30,27.128705
1.269295,30,27.547801
49.028114,30,27.982107
3.733744,30,28.405756
0.957594,30,28.808053
2.641132,30,29.217438
6.799823,30,29.70141
1.506299,30,30.12582
1.044836,30,30.543073
2.012929,30,30.957044
1.929136,30,31.416958
1.030333,30,31.85311
4.221282,30,32.261184
3.30547,30,32.679991
1.568291,30,33.119142
1.842669,30,33.629147
1.572092,30,34.048325
20.634875,30,34.475702
0.900916,30,34.937911
4.470556,30,35.403915
4.439565,30,35.804709
2.019657,30,36.223707
1.340288,30,36.696503
3.279042,30,37.092456
1.595284,30,37.561721
1.419583,30,37.971585
1.22299,30,38.423397
1.310205,30,38.83783
1.915297,30,39.239951
2.011354,30,39.664853
1.614082,30,40.114832
0.888255,30,40.553464
1.010192,30,40.975332
1.192939,30,41.377913
1.622934,30,41.859542
1.444949,30,42.268683
1.345619,30,42.685833
1.925653,30,43.106068
1.593945,30,43.573202
1.144052,30,43.979032
1.498313,30,44.396857
2.910905,30,44.814639
0.877824,30,45.270709
1.295429,30,45.693318
1.061195,30,46.114221
2.673672,30,46.558137
1.33798,30,47.005864
1.523894,30,47.403652
0.922217,30,47.881256
0.929149,30,48.292624
1.091794,30,48.762376
1.796595,30,49.167823
1.400114,30,49.585387
1.141708,30,49.986222
1.521349,30,50.444965
2.254602,30,50.87172
0.972855,30,51.274806
4.4148,30,51.672799
0.986193,30,52.105335
3.911882,30,52.535824
3.456367,30,52.936738
1.000166,30,53.351742
0.908951,30,53.789048
1.851223,30,54.194271
1.519829,30,54.618917
1.359355,30,55.029404
0.784572,30,55.473684
1.72376,30,55.879838
1.39841,30,56.279976
1.015901,30,56.696846
1.506678,30,57.177185
4.56814,30,57.574125
1.66193,30,57.994561
0.824053,30,58.405742
1.11286,30,58.857965
3.601976,30,59.297453
2.180929,30,59.748478
3.804288,30,60.163841
5.318893,30,60.612246
1.099737,30,61.045111
0.893982,30,61.447343
1.504698,30,61.861623
0.801403,30,62.326558
1.396124,30,62.751411
2.962208,30,63.155017
3.46704,30,63.556927
1.869426,30,63.990964
1.177789,30,64.456016
0.928733,30,64.889562
1.627114,30,65.29353
1.814112,30,65.833991
1.107166,30,66.276057
0.888738,30,66.710155
3.767596,30,67.158069
3.6349,30,67.645751
4.320562,30,68.057455
4.135888,30,68.486431
0.941864,30,68.889462
1.138014,30,69.328038
6.186361,30,69.743016
0.929862,30,70.142223
2.986311,30,70.540304
3.120943,30,70.990793
1.408292,30,71.424323
1.267005,30,71.835757
1.123095,30,72.276953
1.164678,30,72.709867
4.359098,30,73.127372
1.866502,30,73.554258
1.59016,30,73.954711
1.343272,30,74.438823
2.875085,30,74.869987
1.022833,30,75.276397
1.141864,30,75.690831
0.933647,30,76.123835
4.571679,30,76.553021
2.262734,30,77.005527
1.244761,30,77.410512
1.94023,30,77.847893
1.347038,30,78.257113
73.968426,30,78.652425
2.139169,30,79.102871
3.236037,30,79.632716
1.808335,30,80.04085
1.058754,30,80.448322
1.018967,30,80.856881
2.007691,30,81.315977
0.990938,30,81.734297
1.245467,30,82.175168
0.960542,30,82.57362
1.282585,30,83.002726
0.996031,30,83.443719
1.846956,30,83.938402
2.545559,30,84.348106
1.078566,30,84.784444
1.355029,30,85.219003
0.874064,30,85.651868
2.417882,30,86.060544
0.836521,30,86.520353
4.604601,30,86.937327
4.967149,30,87.364238
1.530036,30,87.773327
1.192408,30,88.219822
1.01403,30,88.62124
0.675281,30,89.066956
0.739802,30,89.48504
1.802584,30,89.91399
1.751658,30,90.36564
1.791933,30,90.773487
1.1111,30,91.18354
4.080079,30,91.660413
1.025171,30,92.103092
1.556474,30,92.510298
1.398087,30,92.916663
1.767854,30,93.370749
5.06912,30,93.798486
1.089041,30,94.201954
1.431175,30,94.619512
1.641134,30,95.045247
1.478877,30,95.45159
1.712114,30,95.88349
3.157734,30,96.316372
1.884887,30,96.753842
3.588191,30,97.169999
1.129831,30,97.591765
0.796389,30,98.024702
1.357937,30,98.458509
1.026442,30,98.909327
0.869783,30,99.323124
1.872811,30,99.743367
1.557927,30,100.180856
1.202639,30,100.602147
1.130291,30,101.024729
1.889264,30,101.452739
2.144685,30,101.905757
1.425205,30,102.350854
0.968405,30,102.761955
0.80654,30,103.172506
47.83523,30,103.607261
1.203969,30,104.05184
1.066917,30,104.52296
1.019632,30,104.951406
1.13983,30,105.428252
1.326333,30,105.832274
2.706173,30,106.230548
2.84048,30,106.652605
0.997385,30,107.13776
0.864635,30,107.541877
1.905124,30,108.011456
1.533588,30,108.420804
0.926347,30,108.889816
1.526359,30,109.296333
1.14085,30,109.705186
6.362495,30,110.121653
0.804506,30,110.613187
1.043428,30,111.022442
1.08394,30,111.423995
0.985955,30,111.867608
0.860329,30,112.302073
2.942563,30,112.750784
0.709993,30,113.150963
1.521154,30,113.561089
1.211913,30,114.029928
0.921798,30,114.442991
2.829375,30,114.846903
2.017898,30,115.260058
1.042421,30,115.689938
1.130949,30,116.100513
2.954956,30,116.545821
1.174858,30,116.959819
1.513886,30,117.419612
3.960982,30,117.818562
1.18382,30,118.237827
0.618949,30,118.71829
1.9342,30,119.161037
2.225101,30,119.559498
1.839523,30,119.973321
1.274889,30,120.405069
1.73448,30,120.832785
2.62265,30,121.250968
1.222079,30,121.663946
0.883192,30,122.069968
2.868248,30,122.520777
0.812618,30,122.946607
1.672612,30,123.35622
3.256057,30,123.760972
3.727005,30,124.208293
0.828436,30,124.652649
3.117201,30,125.042463
0.714489,30,125.47756
1.226305,30,125.911985
0.804476,30,126.32803
2.51933,30,126.761756
1.015173,30,127.217016
1.272644,30,127.659722
3.816821,30,128.082989
1.059765,30,128.531168
2.136318,30,128.97011
2.182258,30,129.41559
1.373659,30,129.82251
2.681744,30,130.216219
1.668609,30,130.623361
3.861898,30,131.093498
0.674767,30,131.521802
1.525376,30,131.955159
1.391332,30,132.383445
3.483853,30,132.848343
107.925234,30,133.254866
1.602207,30,133.677866
0.708731,30,134.136184
1.127162,30,134.587886
1.03099,30,135.206069
1.948051,30,135.817918
0.659107,30,136.278199
1.222271,30,136.769491
0.937733,30,137.195531
2.784815,30,137.653437
0.872528,30,138.10076
2.664659,30,138.610014
1.411546,30,139.084485
1.448463,30,139.558307
0.779003,30,140.031605
1.590817,30,140.505576
0.956014,30,140.933335
0.90262,30,141.335665
1.203127,30,141.791891
2.027364,30,142.233848
2.177233,30,142.64675
1.528888,30,143.071921
1.362622,30,143.473005
0.982851,30,143.911861
0.662357,30,144.314552
1.30643,30,144.720202
0.896218,30,145.135295
0.856632,30,145.604831
2.879713,30,146.000602
1.081449,30,146.418809
1.152557,30,146.8414
0.877108,30,147.28024
1.036067,30,147.680455
0.697742,30,148.078331
1.005336,30,148.488474
2.065183,30,148.997536
0.992239,30,149.429871
0.693939,30,149.841918
3.328059,30,150.262384
0.958714,30,150.693416
1.520339,30,151.146794
5.022972,30,151.55212
1.930609,30,151.972952
1.401364,30,152.514506
0.738528,30,153.060889
0.9266,30,153.570091
2.339235,30,154.100215
1.464206,30,154.698922
1.138892,30,155.147536
1.619706,30,156.578767
0.803686,30,156.993969
0.95728,30,157.43192
0.871346,30,157.849341
1.485793,30,158.261268
1.463969,30,158.690335
3.570175,30,159.124491
0.844943,30,159.546688
0.70149,30,159.980222
0.984482,30,160.407662
1.450892,30,160.930832
1.907404,30,161.391532
2.224525,30,161.824078
1.876287,30,162.227834
2.748302,30,162.70856
1.272838,30,163.204969
1.263843,30,163.623184
0.857906,30,164.031332
1.803336,30,164.488409
3.059774,30,164.908931
0.952293,30,165.317456
1.66115,30,165.789594
1.195719,30,166.227897
1.009339,30,166.793112
1.970071,30,167.220894
2.644947,30,167.624569
0.890415,30,168.073427
2.089902,30,168.473585
1.018281,30,168.884096
1.557942,30,169.285228
17.32564,30,169.755569
1.343303,30,170.160867
0.94371,30,170.569419
2.280441,30,171.024856
1.552149,30,171.489803
0.881176,30,171.898917
1.435291,30,172.309259
3.450638,30,172.721636
2.856159,30,173.157872
1.986555,30,173.589523
0.815748,30,174.159662
3.334595,30,174.568626
1.191407,30,175.025334
1.384865,30,175.473011
1.647588,30,175.906605
5.612968,30,176.31252
4.102026,30,176.770893
2.685607,30,177.181435
0.741783,30,177.590453
1.779526,30,178.009131
4.283826,30,178.506808
1.564279,30,178.915359
3.238635,30,179.327421
1.08965,30,179.735567
0.85572,30,180.181597
2.550283,30,180.615568
0.894735,30,181.024073
1.015157,30,181.456841
2.158699,30,181.905459
2.383574,30,182.323179
1.692787,30,182.743322
0.874858,30,183.195895
3.80209,30,183.629438
3.252863,30,184.032289
0.722308,30,184.451571
1.689883,30,184.861929
1.012043,30,185.304496
0.758406,30,185.719551
4.491104,30,186.152041
4.304753,30,186.560857
3.265914,30,187.04051
0.992971,30,187.458622
2.191714,30,187.871407
1.111682,30,188.32109
1.503861,30,188.759756
2.081297,30,189.166867
0.86062,30,189.578493
1.568926,30,190.0133
1.266984,30,190.444141
1.182064,30,190.853765
2.63818,30,191.265141
2.690205,30,191.686529
1.612034,30,192.120487
1.229249,30,192.536748
4.600433,30,192.97526
0.849802,30,193.402206
2.373862,30,193.834632
0.889882,30,194.229268
50.119853,30,194.703583
3.131567,30,195.113396
1.674643,30,195.545413
1.266035,30,195.956803
2.57494,30,196.370196
1.22986,30,196.785041
1.336412,30,197.226132
1.385738,30,197.645046
3.089852,30,198.104233
4.479742,30,198.590328
1.64906,30,199.027973
1.485086,30,199.447099
4.89767,30,199.858179
4.570992,30,200.258477
5.746831,30,200.719166
2.060378,30,201.17073
0.915176,30,201.595992
1.269677,30,202.007893
1.213089,30,202.462144
1.001872,30,202.866106
1.796732,30,203.289545
4.052528,30,203.687943
1.022609,30,204.13283
2.258777,30,204.561342
4.605622,30,204.972502
7.378504,30,205.38194
0.936345,30,205.843152
8.243999,30,206.240629
5.13939,30,206.667562
53.197032,30,207.081395
14.054595,30,207.518001
3.549344,30,207.928293
3.95367,30,208.334713
7.325464,30,208.741402
1.569854,30,209.176964
2.128585,30,209.588389
5.95779,30,210.023012
3.701826,30,210.478375
2.831093,30,210.908823
66.148801,30,211.312502
88.998873,30,211.731759
6.203289,30,212.144879
8.382933,30,212.610531
5.375528,30,213.053759
47.218285,30,213.445208
5.206034,30,213.853038
2.014268,30,214.290659
60.356949,30,214.681491
1.39309,30,215.106905
0.985289,30,215.531039
20.531666,30,215.956743
6.495885,30,216.383658
1.575894,30,216.787595
5.805655,30,217.195544
49.672784,30,217.671247
1.115889,30,218.097011
3.331506,30,218.519306
5.884235,30,218.965085
3.010338,30,219.372741
17.154481,30,219.781398
1.605996,30,220.18622
5.895436,30,220.600093
4.60314,30,221.02512
3.778964,30,221.450619
32.650794,30,221.898922
2.98063,30,222.319143
8.92273,30,222.857322
1.576671,30,223.345608
2.320317,30,223.803287
4.410259,30,224.248228
5.129445,30,224.704239
3.455914,30,225.135509
2.352084,30,225.625443
1.769799,30,226.055954
4.84607,30,226.58144
4.519921,30,227.016894
3.822057,30,227.437584
5.144841,30,227.835618
1.594593,30,228.272508
6.19593,30,228.681893
5.96974,30,229.090243
9.172084,30,229.486883
1.988277,30,229.932288
